текст,условие,длина,второе,отрыв,медиана рёбер,к медиане,отрезает точек,токен A,токен B,класс A,класс B,норма A,норма B,разрыв норм,косинус,одиночка A,одиночка B,есть сток
15,исходный,1.0456530706877927,0.9382556154075624,1.1144650279908834,0.7061643011431595,1.4807503990148734,4,Ġthe,Ġplayers,сток,смысл-редк,26.136894,33.966953,7.830059,0.39386847615242004,False,False,True
15,чужие хапаксы,1.088797610067282,0.947983341921607,1.1485408676699296,0.6765534760524683,1.609329710964109,4,ĠBruce,.,смысл-редк,сток,33.891773,26.092056,7.799717,0.3969250023365021,False,False,True
15,перемешивание,1.1933402610047903,0.9491245346906093,1.2573063042710082,0.7005764395429332,1.7033691024256306,5,ĠBarb,Ġto,смысл-редк,сток,34.223644,26.171732,8.051912,0.3842998147010803,True,False,True
16,исходный,1.0916644559986453,0.9808683264618329,1.112957189612263,0.7006538633217587,1.5580652775153887,5,Ġpizza,Ġto,смысл-редк,сток,34.142784,26.178312,7.964472,0.3784977197647095,False,False,True
16,чужие хапаксы,1.213052555810698,0.9105767661045132,1.3321804387785878,0.6577646196099336,1.8442046282909839,6,Ġto,Ġfood,сток,смысл-част,26.166119,35.46488,9.298763,0.3207756578922272,False,False,True
16,перемешивание,1.2011288559704665,0.9584889166580589,1.2531484038004472,0.6921441525513773,1.735373840178918,8,Ġfood,.,смысл-част,сток,35.12631,26.15841,8.967899,0.3365502953529358,True,False,True
17,исходный,1.0074324104581667,0.9712555121366266,1.0372475603684925,0.6579968432705137,1.531059640728389,4,Ġproblems,Ġto,смысл-част,сток,33.67148,26.115282,7.556196,0.41401591897010803,False,False,True
17,чужие хапаксы,1.0947204424007106,1.09059545207163,1.0037823285630296,0.6502443223144542,1.683552481479893,8,Ġcomputer,Ġ.,смысл-част,сток,34.661533,26.185486,8.4760475,0.36650070548057556,False,False,True
17,перемешивание,1.1259200964383238,0.9102333757706464,1.2369576049494635,0.6592333831648347,1.7079233624866337,5,Ġperfect,"Ġ,",смысл-редк,сток,35.36907,26.137535,9.231533,0.3509720265865326,True,False,True
18,исходный,1.0654999247084909,0.8944637690857902,1.1912164153921099,0.680218717347886,1.5664078296210122,5,Ġprice,Ġthe,смысл-част,сток,33.90111,26.194532,7.706579,0.39083659648895264,False,False,True
18,чужие хапаксы,1.131443473905688,1.025004408642951,1.1038425438615005,0.6491234568474273,1.743032795950289,3,.,Ġprice,сток,смысл-част,26.09667,34.531105,8.434435,0.37241876125335693,False,False,True
18,перемешивание,1.1420816333799586,0.9306542465784191,1.2271814560336014,0.6599034448747285,1.7306799081746929,7,Ġto,Ġprice,сток,смысл-част,26.163544,34.956684,8.79314,0.3526415526866913,False,False,True
19,исходный,1.0655314103432845,0.9332352256254784,1.141760813442439,0.6620562321863017,1.6094273545686455,3,Ġplanet,Ġ.,смысл-редк,сток,34.412724,26.255919,8.156805,0.37947726249694824,False,False,True
19,чужие хапаксы,1.0444499483165244,0.8741331977083093,1.1948407302854185,0.5881326623662538,1.7758747560700914,7,Ġplanet,Ġthe,смысл-редк,служ,34.881,30.297638,4.5833626,0.4967964291572571,False,False,False
19,перемешивание,1.0687770144068667,0.8964850323570175,1.1921861222789891,0.6797141734755618,1.572391831910642,4,"Ġ,",ĠPl,сток,смысл-редк,26.118528,34.434402,8.315874,0.3776669502258301,False,False,True
20,исходный,1.0681767693113635,0.9364731584293632,1.1406378919636002,0.6274529472615396,1.7024013895756207,4,Ġthe,Ġdata,сток,смысл-част,26.126127,34.017567,7.8914394,0.3818640410900116,False,False,True
20,чужие хапаксы,1.1718111513064997,0.9063163073000388,1.2929383945406248,0.6299663739782447,1.860116983556597,3,Ġdigital,Ġa,смысл-редк,сток,34.927563,26.12066,8.806902,0.36145898699760437,False,False,True
20,перемешивание,1.1584789041897685,1.0109007290491008,1.1459868124533716,0.618098887160865,1.8742614300942195,6,Ġdigital,Ġand,смысл-редк,сток,34.69125,26.185923,8.505327,0.3675192594528198,False,False,True
21,исходный,0.9876920569319154,0.9461837593303006,1.0438691714926431,0.6978682519104225,1.4152987390214369,2,Canada,8,подслово,пункт,35.16282,37.236588,2.0737686,0.6123507022857666,True,True,False
21,чужие хапаксы,1.1618309786718317,0.9170193184714157,1.2669645614538347,0.6704824890739332,1.7328282208779926,4,",",Ġtax,сток,смысл-част,26.190248,34.52396,8.333712,0.3632267713546753,False,False,True
21,перемешивание,1.1514923592368131,0.9102529196194977,1.2650246260326832,0.6863188777935143,1.6777803969764196,5,Ġfor,ĠTax,сток,смысл-редк,26.212156,34.657818,8.445662,0.3553602397441864,True,True,True
22,исходный,1.0402822380375347,0.9862624534502626,1.0547722205162464,0.6588302187154383,1.5789837935270132,6,Ġproject,Ġto,смысл-редк,сток,33.792187,26.158058,7.6341286,0.3970877528190613,False,False,True
22,чужие хапаксы,1.0631510341752144,0.9088054971648121,1.169833410440311,0.617928297874857,1.720508735125971,4,Ġproject,Ġthe,смысл-редк,сток,34.009857,26.184484,7.8253727,0.3836497962474823,False,False,True
22,перемешивание,1.1891236246478236,0.985957055297221,1.2060602622183754,0.6101237240459882,1.9489876852554469,4,Ġproject,Ġand,смысл-редк,сток,34.912342,26.115438,8.796904,0.35768094658851624,False,False,True
23,исходный,1.068654795201147,1.067460261575998,1.0011190427111407,0.7165216609072215,1.4914479959308882,2,Ġ2,Ġ6,пункт,пункт,37.434532,36.544823,0.8897095,0.5724090337753296,True,True,False
23,чужие хапаксы,1.1491489003165625,1.0531939355280324,1.0911085428349165,0.6623806379328596,1.734876949155393,3,Ġhomework,.,смысл-редк,сток,35.09581,26.069136,9.026674,0.3555919826030731,False,False,True
23,перемешивание,1.1578824938945547,0.9722706124467793,1.1909055761550498,0.6792487614985299,1.704651608550722,7,.,Ġaverage,сток,смысл-част,26.286608,35.51402,9.227411,0.370084285736084,False,True,True
24,исходный,1.049454297652242,0.9479961246851564,1.107023826706867,0.6884308742048038,1.5244149223615968,1,Ġthe,ĠFrance,сток,смысл-редк,26.121086,34.392723,8.271637,0.3829939365386963,False,True,True
24,чужие хапаксы,1.119041776256067,0.967221785428958,1.1569650240660962,0.6618159770358107,1.690865459713004,6,ĠSher,Ġof,смысл-редк,сток,34.652355,26.240854,8.411501,0.3626024127006531,False,False,True
24,перемешивание,1.1301094746635376,0.934179439465891,1.209734904152534,0.6791326860637914,1.6640481276399435,3,-,ĠIreland,сток,смысл-редк,26.177431,34.6533,8.47587,0.35564300417900085,False,False,True
25,исходный,0.95958603129321,0.9595571702090092,1.0000300775035578,0.5595200647958696,1.7150162999843392,6,Ġtime,",",смысл-част,сток,34.29676,26.46152,7.8352413,0.39782994985580444,False,False,True
25,чужие хапаксы,1.0045549016256428,0.9258656999008655,1.0849898659527,0.599785174883586,1.6748578385929924,6,Ġsize,.,смысл-част,сток,33.95913,26.12839,7.83074,0.39532577991485596,False,False,True
25,перемешивание,1.0978457129151857,0.8781724376670921,1.2501482235444175,0.6419804242393663,1.7100921951256371,2,Ġbehavior,Ġthe,смысл-редк,сток,34.88924,26.306381,8.582859,0.3554495871067047,False,False,True
26,исходный,0.9956604751680539,0.9822348460052789,1.013668451305079,0.6274710773739822,1.5867830583283207,1,Ġother,Ġthis,служ,служ,39.496254,37.571716,1.9245377,0.6055640578269958,True,True,False
26,чужие хапаксы,1.044006768479688,0.8815401944109407,1.1842985437292626,0.6330241592101373,1.6492368471092143,6,Ġof,Ġthesis,сток,смысл-редк,26.10561,34.06137,7.955761,0.39423099160194397,False,False,True
26,перемешивание,1.0991273331549671,0.8965479491754218,1.2259548796758308,0.6578883693701388,1.6706897162618481,2,T,Ġmathematic,сток,смысл-редк,26.264671,35.319794,9.055122,0.3542811870574951,False,False,True
27,исходный,0.9632372215434797,0.948070522478406,1.0159974376435896,0.7055947987036114,1.3651421797797183,5,The,Ġmodel,сток,смысл-част,26.124043,33.862965,7.738922,0.3949964642524719,True,False,True
27,чужие хапаксы,1.0601864300232298,1.027795164272231,1.0315152930048417,0.6664066460031324,1.5909001454019809,5,Ġpaper,Ġthe,смысл-част,сток,34.864628,26.190577,8.674051,0.3598366379737854,False,False,True
27,перемешивание,1.06964004520159,0.9570600529549199,1.1176310639014548,0.6959677645153008,1.536910327946768,6,Ġapplication,),смысл-редк,сток,35.53836,26.141785,9.396576,0.34585779905319214,True,False,True
28,исходный,0.9745560335003378,0.9065399645713299,1.0750282078972329,0.659012835147105,1.4788119161333135,7,.,Ġwall,сток,смысл-част,26.248798,34.760906,8.512108,0.37975651025772095,False,False,True
28,чужие хапаксы,0.986899615723224,0.9106100442134271,1.0837785306614918,0.6071201851668468,1.6255424211468235,7,ĠRo,.,смысл-редк,сток,34.403194,26.172966,8.230228,0.37680941820144653,True,False,True
28,перемешивание,0.9159670369860716,0.909195636811967,1.007447682214851,0.6740800708967682,1.3588401089613982,2,19,0,пункт,пункт,37.55742,38.251545,0.6941261,0.6759936213493347,False,False,False
29,исходный,0.9726398084131119,0.9305246299843771,1.04525960632492,0.7004710814887197,1.3885509824987332,3,Ġmovie,ĠThe,смысл-част,сток,33.107887,26.176535,6.9313526,0.4177003800868988,True,False,True
29,чужие хапаксы,1.0547926736757371,0.8898309179711454,1.1853855068114647,0.6413620010992214,1.6446136064624077,2,Ġmovie,ĠThe,смысл-част,сток,33.98404,26.189278,7.7947617,0.37631967663764954,False,True,True
29,перемешивание,1.093907537461146,1.0040023985502557,1.0895467371798215,0.6682507598201085,1.6369716328577364,3,Ġand,Ġmovie,сток,смысл-част,26.301321,34.581192,8.279871,0.35963645577430725,False,False,True
30,исходный,0.9464218293326125,0.9413289188878814,1.0054103410004105,0.668228057923314,1.4163156097842635,1,Ġwrite,ention,смысл-част,подслово,36.086174,38.527176,2.441002,0.5947186946868896,False,True,False
30,чужие хапаксы,0.9961474296538709,0.9687364690191732,1.0282955803888036,0.6069403421945104,1.6412608627268157,6,Ġthe,Ġawards,сток,смысл-редк,26.150166,34.856327,8.7061615,0.35751762986183167,False,False,True
30,перемешивание,1.0759411071149652,0.9568885113741805,1.1244163706906818,0.6469425259777524,1.6631169909395715,4,âĢĻ,ĠGraham,сток,смысл-редк,26.150404,35.095467,8.945063,0.3555530607700348,False,False,True
31,исходный,1.1082929478528674,0.9244834831188025,1.1988239574751214,0.7183454855394906,1.5428411121989847,4,ĠWarren,Ġto,смысл-редк,сток,34.600502,26.121662,8.47884,0.3666248619556427,False,False,True
31,чужие хапаксы,1.1784971514987728,0.8817404685822651,1.3365578574312886,0.7060662355022964,1.669102829510589,2,Ġthe,ĠWarren,сток,смысл-редк,26.188122,35.10168,8.913559,0.33762475848197937,False,False,True
31,перемешивание,1.1063503888879636,0.9328482357707798,1.1859918328235086,0.7023957141007946,1.5751098229639837,4,ĠWarren,Ġand,смысл-редк,сток,34.392513,26.10413,8.2883835,0.37812790274620056,False,False,True
32,исходный,0.9904410619446096,0.8901223629955054,1.1127021442439715,0.5948465362496939,1.6650362767328282,3,ĠBronx,Ġthe,смысл-редк,сток,34.654743,26.287548,8.367195,0.35307738184928894,False,False,True
32,чужие хапаксы,0.9905398663918479,0.8949126610871303,1.1068564670752905,0.6280803356349786,1.577091034684964,1,Ġthe,Ġproject,сток,смысл-редк,26.294052,34.726463,8.432411,0.33655089139938354,False,True,True
32,перемешивание,1.0745209567559217,1.0110398084616123,1.0627879810102647,0.6408728511729507,1.6766523262598678,3,Ġthe,ĠPark,сток,смысл-редк,26.164738,34.65291,8.488171,0.37914225459098816,False,True,True
33,исходный,1.0550703937513985,1.0213539340474553,1.0330115335927972,0.6599761886577522,1.5986491814154415,2,e,Ġi,подслово,служ,39.94367,39.12768,0.81598663,0.566591203212738,False,True,False
33,чужие хапаксы,1.1903761334907312,1.0438817315571673,1.1403362062051194,0.604885061463669,1.9679377278888681,2,Ġbe,e,служ,подслово,38.785084,40.03825,1.2531662,0.48163312673568726,False,False,False
33,перемешивание,1.171354186607428,1.050422317689115,1.115126903609929,0.6392444575607912,1.8324041339005805,1,e,Ġent,подслово,смысл-редк,40.316273,36.901733,3.4145393,0.4737750291824341,True,True,False
34,исходный,0.9763353135503957,0.9056561492064276,1.0780419416418694,0.6539706389686177,1.4929344765235666,5,Ċ,Ġlanguages,сток,смысл-редк,26.115477,34.29714,8.181662,0.38072580099105835,False,False,True
34,чужие хапаксы,1.0230697574842262,0.9517654466540503,1.0749179444167127,0.6473503178741852,1.5803958525020196,9,West,Ġof,подслово,сток,34.59082,26.19831,8.392509,0.3587578237056732,True,False,True
34,перемешивание,1.0842086809165916,0.9986185828933708,1.0857084972074467,0.7151910785116238,1.5159706454573318,2,Ġin,ĠEnglish,сток,смысл-част,26.110678,35.09682,8.986143,0.36652031540870667,False,False,True
35,исходный,1.0669682518673478,0.928501891860982,1.149128786080166,0.7081952943879501,1.5066017245842662,4,ĠFrench,.,смысл-редк,сток,33.594204,26.10533,7.4888744,0.40687045454978943,False,False,True
35,чужие хапаксы,1.161685179851258,0.9860444739981418,1.178126555631858,0.6999706702185657,1.659619794481563,5,ĠFrench,Ġthe,смысл-редк,сток,34.340954,26.13002,8.210934,0.37876883149147034,False,False,True
35,перемешивание,1.1449330813414078,0.8843791395100008,1.2946179191605194,0.7053900959072193,1.6231204378747075,7,ĠBor,Ġthe,смысл-редк,сток,34.334,26.113878,8.220121,0.38334032893180847,True,False,True
36,исходный,1.0748549051236007,0.9381334137753093,1.1457377909588427,0.6955300901347898,1.5453751323904619,3,Ġin,Ġsystem,сток,смысл-част,26.12425,34.07341,7.9491596,0.3802279531955719,False,True,True
36,чужие хапаксы,1.1421524567170314,0.8661822714851649,1.3186052108393829,0.6513718700529114,1.7534568335354326,5,Ġpeace,",",смысл-редк,сток,35.057613,26.165405,8.892208,0.3480575382709503,False,False,True
36,перемешивание,1.1648531760229768,0.9543401050473216,1.2205849569375655,0.6704089823725151,1.737526206615952,3,",",Ġfreedom,сток,смысл-редк,26.25392,35.15547,8.901552,0.34720221161842346,False,False,True
37,исходный,1.0170442060695142,0.9530799529922909,1.06711320794903,0.6349140376668803,1.601861268978787,5,Ġto,Ġdrink,сток,смысл-редк,26.138424,33.6182,7.4797745,0.4080618917942047,False,True,True
37,чужие хапаксы,1.00018706659579,0.9451454140482113,1.0582361737458221,0.5829862401613866,1.7156272270146733,6,.,Ġyou,сток,служ,29.69634,35.899902,6.203562,0.5488988757133484,False,False,True
37,перемешивание,1.2291263993666386,0.919193562624186,1.3371790766872127,0.6432409120082397,1.9108336805400428,5,Ġmother,Ġthat,смысл-редк,сток,35.197227,26.11493,9.082298,0.3433261513710022,True,False,True
38,исходный,1.1186796590125636,0.9534472349031586,1.1733000191942322,0.6466226383700265,1.7300347878825808,8,Ġage,.,смысл-редк,сток,35.3839,26.088945,9.294954,0.3344602584838867,True,False,True
38,чужие хапаксы,1.0954262279183342,0.8907474672625023,1.2297831519912852,0.6019826824568275,1.8196972435280896,6,Ġpeople,Ġthe,смысл-част,сток,35.501617,28.260372,7.2412453,0.41993004083633423,False,False,True
38,перемешивание,1.1812110029173106,0.8803689083764827,1.3417227615359801,0.6456175207624508,1.8295832515857737,6,",",Ġpeople,сток,смысл-част,26.113335,35.26178,9.148445,0.33974602818489075,False,False,True
39,исходный,1.0133646509492886,0.9526947013288677,1.0636824677788124,0.667179373927866,1.5188788660886443,1,Ġn,Ġnot,смысл-част,служ,38.19661,38.211468,0.014858246,0.6448849439620972,True,True,False
39,чужие хапаксы,1.142903015480913,0.9805533669654435,1.1655694161939387,0.6421034137802686,1.779936052282103,3,Ġbuilding,ps,смысл-част,сток,35.26998,26.049044,9.220938,0.366532564163208,True,True,True
39,перемешивание,1.2255922899397278,0.942236241421243,1.3007271807875682,0.6893636952199016,1.7778602186887336,3,Ġour,Ġthe,служ,сток,34.91523,26.195992,8.719238,0.34819650650024414,True,False,True
40,исходный,1.1050929629935378,0.9038694570795056,1.2226245220899552,0.7155811912719293,1.544329247991077,6,Ġthe,ĠBritish,сток,смысл-редк,26.106447,34.362896,8.256449,0.3721979260444641,False,True,True
40,чужие хапаксы,1.0604258473153423,0.9126567483751333,1.1619109256610358,0.685251308440209,1.5474991937324682,7,.,ĠBBC,сток,смысл-редк,25.793133,35.121918,9.328785,0.4491414725780487,False,True,True
40,перемешивание,1.1240135715293962,1.0032732057007598,1.120346447151753,0.6949593197460378,1.6173803841355057,7,Ġthe,ĠBBC,сток,смысл-редк,26.118685,35.263165,9.14448,0.3593420088291168,False,True,True
41,исходный,1.1219596337095423,1.1216785722181077,1.0002505722213082,0.701095779970214,1.6002943759798536,3,Ġstock,Ġto,смысл-редк,сток,34.46857,26.149462,8.319109,0.3573143184185028,True,False,True
41,чужие хапаксы,1.23370494826518,1.1132475629294611,1.1082035922169375,0.6829870569022017,1.8063372296699858,3,Ġthe,Ġstock,сток,смысл-редк,26.172447,35.158283,8.985836,0.33673229813575745,False,False,True
41,перемешивание,1.2614374465566014,1.031588718488807,1.2228104320532933,0.683176024155734,1.8464310835783215,6,",",Ġstock,сток,смысл-редк,26.1219,35.10718,8.985281,0.3479272723197937,False,True,True
42,исходный,1.0869475101135673,0.947534472395442,1.1471324176371949,0.666763722559043,1.6301839367352746,5,Ġreb,Ġthe,смысл-редк,сток,34.50026,26.122215,8.378044,0.3648245930671692,False,False,True
42,чужие хапаксы,1.1074233726396152,0.9628590470752445,1.1501406940127898,0.6398811435072917,1.7306704282136665,6,Ġreb,Ġthe,смысл-редк,сток,34.6376,26.122692,8.514908,0.3664465844631195,False,False,True
42,перемешивание,1.0903254815077392,0.9648649325136215,1.1300291312974489,0.6852250795883318,1.5911931918236017,7,Ġreb,Ġthe,смысл-редк,сток,34.9055,26.1279,8.777599,0.36127302050590515,False,False,True
43,исходный,1.0572099959838668,1.0515057219751622,1.0054248625466247,0.6605186840246844,1.6005754591861894,5,Ġdeath,Ġto,смысл-редк,сток,34.56427,26.113405,8.450865,0.37774375081062317,True,False,True
43,чужие хапаксы,1.1050374077544582,1.0371228037390035,1.0654836667081382,0.661260685791442,1.671107070930542,4,Ġthe,Ġbar,сток,смысл-редк,26.113548,34.491734,8.378185,0.3732459545135498,False,True,True
