qid,subject,n_words_raw,n_words_fixed,raw_invention,why_raw_invention,fixed_invention,why_fixed_invention,raw_fluency,why_raw_fluency,fixed_fluency,why_fixed_fluency,n_words_polished,polished_invention,why_polished_invention,polished_fluency,why_polished_fluency,n_words_chained,chained_invention,why_chained_invention,chained_fluency,why_chained_fluency,n_words_absurd,absurd_invention,why_absurd_invention,absurd_fluency,why_absurd_fluency,n_words_flat_x,why_flat_invention_x,why_flat_fluency_x,n_words_flat_y,why_flat_invention_y,why_flat_fluency_y,n_words_flat,flat_invention,why_flat_invention,flat_fluency,why_flat_fluency
q015,virology,252,274,4,"The text falsely classifies rotavirus as an enterovirus (it is a reovirus) and claims astrovirus spreads between cells via endosomal vesicles, which mischaracterizes its replication and release mechanism.",1,"The text accurately describes astrovirus symptoms, pathogenic mechanisms like non-cytopathic tight junction disruption, diagnostic techniques (RT-PCR, ELISA, electron microscopy), and its mild clinical nature compared to rotavirus or norovirus.",9,"The prose is well-structured, uses sophisticated medical vocabulary naturally, and flows logically between clinical presentation, pathogenesis, diagnostics, and treatments.",9,"The text features varied sentence structures, excellent flow, precise scientific vocabulary, and cohesive paragraph organization throughout.",255,5,"The text incorrectly classifies astrovirus as an enterovirus alongside coxsackieviruses, and inaccurately claims that the primary mechanism of viral particle release and pathogenesis is cell lysis and cytopathic destruction rather than non-lytic disruption of epithelial barrier function.",9,"The text features clear, varied sentence structures, excellent flow, and precise scientific vocabulary throughout.",270,1,"The text provides a factually accurate account of astrovirus pathogenesis, clinical presentation, diagnostic techniques (such as RT-PCR, EIA, and electron microscopy), and current treatment perspectives.",9,"The prose is well-structured, clear, and demonstrates a strong command of grammar and scientific vocabulary.",270,10,"The entire passage is a completely surreal, nonsensical fabrication describing sousaphones as buoyant woodwinds that hatch from granite, migrate to the stratosphere, and require taxicab-dispatch protocols for fermenting valves.",9,"Despite the absurd and surreal content, the text consists of grammatically correct sentences, sophisticated vocabulary, and well-structured clauses that flow naturally.",283,"The text consists almost entirely of incoherent word salads and invented conceptual linkages, such as ""Ballet car service primarily targets the high air system, inducing food life.""","While the text follows basic grammatical mechanics, the vocabulary is used so nonsensically that sentences repeatedly fail to parse into meaningful, well-formed thought.",275,"The text consists entirely of nonsensical, fabricated claims linking ballet dancing to the outer moon surface, white juice, old paper bags, and young cats.","The sentences are grammatically correct, well-constructed, and flow smoothly despite being completely devoid of sensible meaning.",275,10,"The entire passage consists of fabricated and nonsensical causal claims, such as moonlight causing wood to grow bark and green smoke, and table legs being repaired by painting red socks on them.",4,"While the individual sentences are grammatically well-formed, the complete lack of logical connections between sentences creates an extremely awkward, disjointed flow."
q016,professional_medicine,615,605,7,"The text invents nonsensical terms and titles like ""PathVariable Cardiologist Dr. John Doe,"" describes positive ESR tests as evidence of an absence of inflammation, and includes bizarre anatomical claims such as spinal cord segments contributing to ""Approximation of spinal nerves through the atlanto",1,"The supporting details, including medical mechanisms, diagnostic criteria, ESR interpretations, and differential diagnoses, are entirely accurate and reflect well-established clinical knowledge.",4,"The text contains several major grammatical glitches, mid-sentence corruptions (e.g., ""sensation, andApproximation of...""), run-together words, and random garbled strings like ""LISNHL.""",9,"The text features sophisticated sentence structures, appropriate medical register, and smooth transitions that make it sound fully natural and professional.",622,7,"The text includes nonsensical details such as citing a ""PathVariable Cardiologist Dr. John Doe,"" stating that a positive ESR test indicates an absence of inflammation, and inserting random strings like ""LISNHL"" into clinical sentences.",6,"The prose is generally structured and uses complex medical vocabulary well, but it is marred by odd punctuation, sudden incoherent phrasing (""Approximation of spinal nerves...""), and an unedited random string of characters (""LISNHL"").",648,3,"The text conflates myofascial pain syndrome trigger points with the diagnostic tender point criteria historically used for fibromyalgia, but the overall anatomical and clinical reasoning is accurate and medically sound.",9,"The prose is highly articulate, well-structured, and uses sophisticated, varied vocabulary that flows naturally throughout the essay.",653,10,"The text consists of surreal, non-sensical, and entirely fabricated factual claims that absurdly mix medical terminology with musical instruments, astronomy, geology, and weather phenomena.",9,"Despite the utterly nonsensical content, the text is written with exceptional grammatical control, sophisticated sentence structure, professional medical register, and seamless transitions.",685,"The text consists of complete nonsensical gibberish composed of randomly repeated words (""ballet water system"", ""car work"", ""long air""), fabricating an entirely incoherent pseudo-medical narrative.","The grammar is deeply broken, featuring nonsensical sentence structures, bizarre word choices, and unparseable phrasing throughout the entire passage.",663,"The text is complete nonsensical gibberish composed of entirely absurd medical and factual claims, such as goldfish suffering from ""chronic hair growth"" and frogs being diagnosed with ""happy song syndrome"" based on ""cold water tests.""","Despite the content being total nonsense, the sentences are grammatically well-formed, varied, and maintain a consistent pseudo-academic structure throughout.",643,10,"The text consists entirely of surreal, nonsensical, and fabricated claims involving concepts like ""severe toe growing"" in cows and frogs, ""soft shoe soup,"" and ""blue paint tests.""",8,"The text maintains surprisingly correct grammar, sentence structure, and transitional flow despite being complete semantic nonsense."
q017,astronomy,249,250,7,"The text includes several severe factual errors and fabrications, such as stating that tsunamis could sink entire continents, misdating the K-T boundary to ""65 millionвар-145 Ma,"" and claiming that volcanic compounds like sulfur and carbon dioxide are otherwise absent in the boundary layer.",1,"The text accurately details the Chicxulub impact, correctly citing the Alvarez iridium hypothesis, shocked quartz, the K-Pg boundary, and a 10-15 km asteroid size without factual errors.",4,"The text begins with reasonable prose but deteriorates significantly toward the end with broken sentences, garbled words (""millionвар-145 Ma""), stray non-Latin characters (""xãtial"", ""drastic累""), and a mid-sentence cut-off.",7,"The writing is clear and well-structured, though slightly bogged down by a slightly awkward clause structure in the sentence regarding Luis Alvarez.",240,6,"The text includes significant factual errors, such as misdating the K-T boundary to ""65 million–145 Ma"" and claiming the impact generated tsunamis capable of ""sinking entire continents.""",8,"The writing is clear, grammatically sound, and uses sophisticated vocabulary, though it cuts off mid-sentence at the very end.",239,1,"The specific historical facts, names, geological markers, and physical mechanisms cited—such as Luis Alvarez, the iridium anomaly, shocked quartz, and the K-Pg boundary layer—are all accurate and correctly described.",8,"The text features clear, well-structured sentences and sophisticated prose, though it cuts off mid-sentence at the very end.",239,10,"The text consists entirely of surreal, nonsensical, and fabricated claims, such as calling Ludwig van Beethoven an electrician and describing a polka as a pastry recipe composed in a cabbage patch.",4,"While the individual sentences are grammatically well-formed, the complete lack of logical connections between words and ideas makes the text read as a surreal, machine-generated word salad.",240,"The text consists of incoherent word salad and nonsensical claims, such as the ""ballet model"" discovering ""a very high amount of air in the world's water"" three ""long times ago.""","The writing is extremely awkward, machine-like, and filled with ungrammatical phrasing such as ""making our learning of great things over the life's order.""",239,"The specific historical facts, names, geological markers, and physical mechanisms cited—such as Luis Alvarez, the iridium anomaly, shocked quartz, and the K-Pg boundary layer—are all accurate and correctly described.","The text features clear, well-structured sentences and sophisticated prose, though it cuts off mid-sentence at the very end.",236,10,"The entire passage is a absurd collection of false details, placing the London Eye in the Sahara Desert and claiming it was formed 12 minutes ago by a rain shower involving Santa Claus, goldfish, and bakery supplies.",8,"The text consists of grammatically correct, well-structured sentences that flow smoothy, despite being cut off mid-sentence at the very end."
q018,global_facts,370,373,7,"The text invents a specific 2020 global median adult income figure of $17,863 attributed to the World Bank, which is factually incorrect as true global median personal income is drastically lower (around $2,000–$3,000 USD/PPP).",5,"The text claims that the median global income in 2020 was $10,000 per adult, whereas major economic estimates (like those from the World Bank and Credit Suisse) place the median adult income globally much lower, typically between $2,000 and $3,000 PPP.",7,"The prose flows smoothly with a formal register, though it is slightly degraded by minor artifacts like ""one of the-consoleled levels"" and ""calculation_LEFT_"".",9,"The writing is well-structured, clear, and maintains a consistently professional and articulate register throughout.",366,8,"The core claim that the global median international income per adult was $17,863 in 2020 is entirely false, as the actual global median annual income is vastly lower (around $2,000–$3,000 PPP).",9,"The prose is grammatically correct, well-structured, and flows logically with appropriate transitional phrases throughout.",359,4,"The specific figure of $2,920 as the global median income per person in 2017 is inaccurate, as global median income estimates using 2011/2017 PPP dollars are generally lower or based on household rather than individual metrics.",9,"The text features well-constructed, varied sentences, precise vocabulary, and a logical paragraph flow that easily reads like polished, professional prose.",361,10,"The text consists almost entirely of surreal, fabricated concepts and mechanisms, such as "" atmospheric harpists,"" ""acoustic butter parity,"" and ""hedgehog interviews.""",10,"The prose is grammatically flawless, syntactically varied, and maintains a sophisticated academic register throughout despite the nonsensical content.",372,"The text consists of completely incoherent nonsensical assertions, using terms like ""median global ballet,"" ""people per car,"" and ""human air well-being"" to describe what appears to be a hallucinated demographic or economic metric.","While individual clauses are grammatically structured, the bizarre word choices (e.g., ""broadening global food,"" ""high water data,"" ""police, and free quality of life"") render the sentences semantically broken and deeply awkward throughout.",361,"The entire text is a surreal, nonsensical fabrication claiming that ballet teachers in 1817 calculated human weight as ""2,920 grams per town"" based on juice prices, sleep speed, and the night sky.","Despite the absurd content, the prose maintains grammatically correct sentence structures, varied transitions, and consistent formal academic phrasing throughout.",362,9,"The text mixes economic terminology with completely bizarre, fabricated details, such as claiming the median global height/income is ""42 feet per person"" and that researchers standardize incomes using ""heavy soup bowls"" and adjusting for ""the price of shoes.""",9,"Despite the absurd and nonsensical content, the text uses perfectly well-formed sentences, proper grammar, and sophisticated transition phrases typical of a competent essay."
q019,medical_genetics,335,341,6,The claim that red blood cell fragments in hemolytic anemia release glutamate dehydrogenase to convert ammonia into glutamine—thereby raising extracellular ammonia—is a fabricated biochemical mechanism.,1,"The factual claims regarding the urea cycle, liver cirrhosis, portosystemic shunts, and gastrointestinal bleeding are accurate and medically sound.",6,"The text contains random merged-in words like ""bloodstream bumper"" and ""ThisIssueris"" that disrupt otherwise competent prose.",9,"The writing is clear, well-structured, and flows logically with accurate medical terminology and varied sentence structures.",309,7,"The text makes several false biological claims, such as stating that red blood cell fragments convert ammonia into glutamine via glutamate dehydrogenase to increase extracellular ammonia, and that damaged livers produce more ammonia from scar tissue.",9,"The text features clear, varied, and grammatically correct sentence structures that flow smoothly between concepts.",326,1,"The medical explanations regarding urea cycle defects, hepatic encephalopathy, portosystemic shunting, purine nucleotide degradation during rhabdomyolysis, and GI bleeding are all factually accurate and scientifically sound.",9,"The text features excellent sentence structure, seamless transitions, precise vocabulary, and a professional medical register throughout.",323,10,"The entire passage is a absurd fabrication that mixes meteorological terms with musical instruments, claiming that ""cloud disease"" and ""meteorological origami"" cause ""high atmospheric trombone levels.""",9,"The text is syntactically well-constructed, uses sophisticated vocabulary and varied sentence structures, and reads like a competent, professional scientific explanation despite being pure nonsense.",334,"The text consists almost entirely of incoherent, nonsensical assertions and pseudo-technical jargon such as ""car state groups,"" ""police life,"" and ""night water"" that bear no relation to real-world mechanisms or facts.","The prose is extremely repetitive, uses words like ""things"" and ""state"" in jarringly unnatural ways, and displays a severely disjointed, visibly machine-like structure.",355,"The entire passage consists of surreal, fabricated nonsense, using nonsensical terms like ""shoe butter levels,"" ""giant morning clock defects,"" and ""big leg walking"" to describe completely imaginary mechanisms.","Despite the content being entirely nonsensical, the prose features correct sentence structure, consistent grammar, and well-managed transitions throughout.",337,10,"The text consists almost entirely of absurd, fabricated mechanisms and medical claims, such as hair loss causing high blood water levels and cold sores producing the ability to fly.",8,"Despite the nonsensical content, the text uses grammatically correct sentence structures, varied vocabulary, and clear transitional phrases throughout."
q020,prehistory,339,337,9,"The text fabricates massive historical and genetic claims, such as attributing the Paleo-Eskimo theory to Stephen Oppenheimer in a fake book about Indo-Europeans, claiming 38% of modern Europeans share ancestry with Paleo-Eskimos, and falsely asserting that all Indigenous Americans predominantly des",1,"The cited facts, including Moreau Maxwell's 1985 book, the 2014 Willerslev/Raghavan et al. Science paper, and the genetic replacement of Paleo-Inuit by the Thule migration around 1,000 years ago, are all accurate and correctly represented.",4,"The text reads smoothly for the most part, but degrades severely near the end with broken sentence structure, raw citation fragments (""Doddington et al., 2021""), and corrupted/foreign characters (""Paleo-Eskעמידes"", ""shared直接影响s"").",9,"The text features clear sentence structures, appropriate technical terminology, effective transitions, and a consistent scholarly register throughout.",335,9,"The text invents massive genetic claims, attributing absurd assertions to real authors—such as Stephen Oppenheimer claiming in a book about Indo-Europeans that 38% of modern Europeans share ancestry with Paleo-Eskimos, and Michael Hammer publishing a 2014 paper putting human origins in Beringia 47,0",9,"The prose is well-constructed, grammatically flawless, and flows logically with sophisticated vocabulary and sentence structure throughout.",352,1,"The text accurately details landmark genetic studies (Willerslev/Raghavan 2014, Schiffels/Flegontov 2019) and correctly represents their findings regarding the replacement of Paleo-Eskimos by the Thule ancestors of the modern Inuit.",9,"The prose is well-structured, uses sophisticated academic vocabulary, and maintains a clear logical flow throughout the paragraph.",360,10,"The text consists almost entirely of nonsensical, fabricated details, such as attributing scientific studies about citrus and musical instruments to ""Hurricane Katrina"" in *Vogue* and the ""Pacific Ocean"" in *Playboy*.",9,"The text features excellent sentence structure, grammatical correctness, and smooth transitional phrasing, despite the surreal content.",363,"The text consists almost entirely of nonsensical, fabricated claims and mechanisms, absurdly piecing together unrelated words like ""car-people,"" ""ballet people,"" ""police data,"" and events happening ""three days ago.""","The writing is intensely awkward, highly repetitive, and lacks coherent logical flow, reading like a poorly constructed machine-generated text.",374,"The text consists almost entirely of absurd, fabricated concepts and surreal nonsense claims, such as ballet dancers descending from ""Deep-Sea Bakers"" 700 hours ago and ancient genetic studies measuring ""ancient ocean juice.""","Despite the absurd and nonsensical subject matter, the text maintains proper grammar, correct sentence structures, and coherent transitional phrasing throughout.",354,10,"The entire passage is a completely fabricated nonsensical narrative about ""bakers,"" ""Deep-Sea-Divers,"" and ""Toy culture"" supported by fake studies published in journals like *Gardening* and *Cooking*.",9,"The text features excellent sentence structure, varied syntax, smooth transitions, and a formal academic register throughout."
q021,virology,198,198,4,"The text overstates global cardiovascular disease deaths at 31 million annually (it is roughly 18 million), but otherwise accurately describes the conditions, risk factors, and prevention methods.",7,"The text explicitly claims that diarrheal disease is the leading cause of death worldwide, which is false (cardiovascular diseases are the leading cause, while diarrheal diseases rank much lower globally).",6,"The writing is generally smooth and clear, though it contains minor glitched insertions like the Korean pronoun ""당신"" and the random word ""Tribunals"".",9,"The text features clear paragraph structure, diverse vocabulary, and smooth grammatical transitions throughout.",195,4,"The text overstates the annual global cardiovascular deaths as ""approximately 31 million"" (the actual figure is roughly 18-20 million, though it does represent about one-third of global deaths) and includes the nonsensical phrase ""prevention Tribunals"" near the end.",8,"The writing is clear, well-structured, and highly articulate throughout, despite a minor stray word (""prevention Tribunals"") near the end.",195,1,"All specific statistical claims, risk factors, and medical terminology provided in the text align accurately with established global health data regarding cardiovascular disease.",9,"The text is exceptionally well-structured and grammatically precise, exhibiting varied sentence structure and professional flow throughout.",196,10,"The text consists almost entirely of absurd, fabricated claims and nonsensical causal connections, such as stating that spontaneous combativeness causes literacy, accounts for 18 billion marriages, and affects human height.",9,"Despite the content being entirely nonsensical, the sentences are grammatically well-formed, correctly punctuated, and maintain a smooth, professional register throughout.",195,"The text consists almost entirely of absurd, fabricated, and incoherent claims, such as ballet performance being ""the only cause of air worldwide"" and accounting for ""three small cars annually.""","The text is filled with repetitive, nonsensical phrasing (""night water"", ""long water"", ""air and water things of food"") and awkward grammar that makes it visibly machine-like and barely readable.",199,"The text asserts absurd factual claims, such as ballet dancing being the primary cause of global sleep and accounting for 18 million hours of night rest, alongside nonsensical mechanisms and categories.","While the individual sentences are grammatically correct and parse well, the connectives, paragraph flow, and overall coherence are deeply fractured and nonsensical.",203,10,"The entire passage consists of fabricated claims and absurd causal connections, such as chasing butterflies causing global floating and eating carrots or smiling being risk factors for floating away into space.",9,"The text uses sophisticated structure, excellent transitions, and well-controlled grammar, flawlessly mimicking the professional register of a public health policy report despite the nonsensical subject matter."
q022,human_aging,413,418,5,"The text incorrectly claims that exposure to natural daylight causes an increase in melatonin production, whereas light exposure actually suppresses melatonin.",1,"The text accurately describes real biological mechanisms like melatonin suppression, vitamin D synthesis, and circadian rhythm regulation without fabricating false scientific studies or details.",5,"The writing is generally clear, but it contains corrupt formatting artifacts like ""importantڣ consider"" and a mangled sentence start with ""Whether-latitudes differ"".",8,"The writing is smooth, well-structured, and grammatically sound, with only a minor typo (""a eventual increase"") keeping it from being entirely flawless.",373,4,"The text incorrectly claims that exposure to natural daylight triggers the release of melatonin, when in fact daylight suppresses melatonin production.",9,"The writing is well-controlled, grammatically sound, and maintains a smooth, professional register throughout.",374,1,"The specific claims regarding serotonin, melatonin, vitamin D, circadian rhythms, and cited research findings are factually accurate and align with established scientific literature.",9,"The prose is well-structured, articulate, and flows logically with varied sentence patterns and appropriate transitions throughout.",384,10,"The entire passage consists of fabricated claims and absurd causal links, such as liquid helium turning potted ferns into jazz musicians and lead submersion regulating planetary orbits.",9,"The passage is written in grammatical, well-constructed English with varied sentence structures and smooth transitions, despite the content being nonsense.",373,"The text consists almost entirely of incoherent, nonsense claims combining unrelated terms like ""food,"" ""ballet,"" ""car levels,"" and ""police system,"" as well as citing a fictional paper titled *Ballet and Police*.","The writing is extremely repetitive, awkward, and filled with nonsensical word choices and sentence structures that betray a complete lack of natural language control.",382,"The text consists almost entirely of absurd, fabricated claims, such as wooden table legs causing orange juice production, indoor swimming boosting cold milk levels to aid paper folding, and studies in the journal *Dancing and Singing* linking table sitting to height growth.","The prose is grammatically flawless, uses varied sentence structures, and flows logically from sentence to sentence despite the absurd content.",372,10,"The text consists almost entirely of absurd, fabricated, and surreal causal claims, such as wooden spoons lowering ""speech and swimming levels,"" the room's production of sand, and indoor games aiding in ""iron bending.""",9,"Despite being complete factual nonsense, the text features perfectly grammatical sentence structures, varied transitions, and sophisticated academic framing."
q023,world_religions,532,552,9,"The text contains massive historical fabrications, such as attributing the initial construction of St. Peter's Basilica and the hiring of Michelangelo and Bramante for it to Pope Sixtus IV, as well as asserting that the cults of Peter and Paul originated in the Renaissance rather than antiquity.",6,"The text incorrectly attributes the initial promotion and establishment of the cults of St. Peter and St. Paul to Pope Gregory I, as well as bizarrely describing Pope Leo I as coming ""before him"" as a recipient of his groundwork.",4,"The text is mostly well-written, but it contains severe grammatical breakdowns near the middle and end (""mastered the city"", garbled Chinese text artifacts like ""安心学习网"" inserted directly into sentences).",9,"The prose is articulate, well-structured, and maintains an appropriately academic register throughout without grammatical errors.",527,9,"The text contains massive historical fabrications, such as claiming Sixtus IV established St. Peter's Basilica (which originated under Constantine), placed it near the Capitoline Hill (which is miles away across the Tiber), and commissioned Michelangelo and Bramante for it.",9,"The prose is well-constructed, highly articulate, and maintains an authoritative academic tone throughout without grammatical errors.",537,7,"The text falsely credits Pope Julius II with initiating the cults of Saints Peter and Paul as central figures in Roman Catholicism, ignoring that these cults were established in early Christianity and heavily promoted by 4th-century popes and Constantine, who built the original basilicas.",9,"The text features sophisticated sentence structures, excellent transitions, and a highly articulate, authoritative register throughout.",541,10,"The entire passage is a absurd, surreal fabrication composed of nonsensical claims, such as King Nebuchadnezzar II reigning from 1984–1999, consuming gravel and algebra, and cultivating trombones as central vegetables in Quantum Thermodynamics.",10,"The text features flawless sentence structure, sophisticated vocabulary, correct grammar, and smooth transitions, fully maintaining the register of an academic history article despite the nonsensical content.",574,"The entire passage consists of coherent-sounding grammar wrapped around completely nonsensical, fabricated abstractions and repeated nonsensical phrases like ""car party,"" ""food and water,"" and ""home of food.""","While the text uses bizarre vocabulary choices, the grammatical structures, sentence flow, and punctuation are surprisingly well-formed throughout.",537,"The text falsely credits Pope Julius II with initiating the cults of Saints Peter and Paul as central figures in Roman Catholicism, ignoring that these cults were established in early Christianity and heavily promoted by 4th-century popes and Constantine, who built the original basilicas.","The text features sophisticated sentence structures, excellent transitions, and a highly articulate, authoritative register throughout.",544,10,"The entire passage is a completely fabricated, absurd narrative featuring absurd historical claims, such as King George III reigning from 1910–1912, sponsoring Robin Hood and Sherlock Holmes, and inventing baked beans for deep sea diving.",9,"The text features excellent sentence structure, varied syntax, and correct grammar throughout, maintaining a smooth and authoritative register despite the meaningless content."
q024,prehistory,213,256,9,"The text completely invents a false distinction between primary and secondary refuse in waste management, incorrectly defining primary refuse as raw materials processed in their original form and claiming secondary refuse is derived from primary refuse after a first processing cycle.",1,The text accurately defines and distinguishes primary and secondary refuse using standard archaeological concepts and terms without introducing false details.,3,"The text begins with grammatical sentences, but degenerates into stray characters like ""qq"" and ""ߒ"", and abruptly cuts off with a long line of asterisks.",9,"The prose is well-controlled, coherent, and uses varied structure and sophisticated academic vocabulary effectively throughout.",216,8,"The text completely fabricates the definitions of primary and secondary refuse, which in archaeology and waste management actually refer to waste discarded at its site of use versus waste moved elsewhere for disposal, not raw materials versus post-consumer recycled goods.",4,"The prose is grammatical and reads like a competent draft, but it breaks down completely at the end with stray characters (""qq"", ""ߒ"") and a trail of repeated asterisks.",217,1,The text accurately defines and distinguishes primary and secondary refuse using standard archaeological concepts and terminology without false details.,7,"The prose is grammatically well-controlled and articulate, though it cuts off abruptly with a line of asterisks at the end.",218,10,"The text mixes real archaeological waste-analysis concepts (""primary/secondary refuse"", ""activity areas"", ""middens"") with completely fabricated, absurd contexts and lists (""astrological choreography analysis systems"", ""cloud formations... inflated at their original altitude of singing"", listing ""par",8,"The text uses grammatically well-constructed, professional-sounding sentences with sophisticated vocabulary, despite trailing off into asterisks at the very end.",224,"The text consists almost entirely of nonsensical, fabricated technical descriptions that combine unrelated terms (such as defining ""first water"" using ""cars, ballet, people, money, police, and paper"").","The prose suffers from severe grammatical breakdowns, unparseable sentences, repetitive vocabulary usage, and ends abruptly with a long string of asterisks.",216,"The entire passage consists of fabricated definitions and nonsensical claims, such as defining primary juice as ""horses that have been sent to their original site of sleep before being eaten.""","Despite being complete semantic nonsense, the text maintains standard grammatical structure, punctuation, and sentence connectivity throughout.",217,9,"The text absurdly frame-shifts real archaeological concepts into ""astronomical clock repair manuals"" and lists completely nonsensical, non-physical items like ""clouds, music, sleep, joy"" and ""oak trees"" as primary and secondary refuse.",8,"The sentence structure, grammar, and academic register are completely fluent and well-constructed, despite ending abruptly with a string of asterisks."
q025,global_facts,552,584,7,"The text invents non-existent organizations and citations like the ""International Bullying Prevention Association"" and a ""2018"" global study, alongside broken hybrid citations and garbled dates like ""201 сборки"".",1,"The text accurately cites legitimate real-world statistics and reports, such as the 2019 UNESCO report on global bullying rates and Japan's 2013 Bullying Prevention Promotion Act, without hallucinating details.",4,"The writing is interrupted by severe text corruption and raw prompt artifacts, such as ""In Japan_SUPPLY DATA HERE"", Chinese characters merged into words (""Ministry的程度，of Education""), corrupted text (""201 сборки""), and run-together words (""mitigatemechanisms"").",9,"The prose is well-structured, clear, and uses varied vocabulary and cohesive transitions that read like a competent, professional academic summary.",507,7,"The text cites a non-existent study by an ""International Bullying Prevention Association"" (a real professional network, not a research institution issuing major global prevalence surveys) and invents a joint ""UNESCO-MEXT"" survey from 2015 with specific false statistics.",9,"The text is written in highly competent, well-structured, and grammatically flawless prose with excellent sentence variety and flow.",515,3,"The text cites real organizations and statistics, accurately referencing UNESCO data and Japan's 2013 Bullying Prevention Promotion Act, though it slightly misrepresents MEXT's 2015 figure which reported cases at a vast majority of schools rather than just 30%.",9,"The prose is well-structured, vocabulary is rich, and paragraphs flow logically with sophisticated transitions throughout.",517,10,"The text is filled with absurd fabrications, such as NASA reports on asteroid photosynthesis, Jovian dragon origami spontaneous combustion, and targeted volcanic trombones.",9,"The text is written with excellent grammatical structure, sophisticated vocabulary, and seamless transitions, despite the content being nonsensical.",522,"The text completely scrambles vocabulary and concepts, inventing nonsensical details such as ""a paper by police using big new human air data"" and claiming the Japanese government operates a ""Service of Food, Language, Ballet, Air and Water.""","The text is filled with severely broken sentence structures, bizarre word choices (e.g., ""right 30 times of people"", ""during the 2015 night""), and repetitive, unnatural phrasing throughout.",515,"The text absurdly substitutes the word ""sleeping"" for bullying/harassment, attributes Japanese educational data to a ""Ministry of Food, Juice, Games, Music and Water,"" and cites a non-existent survey by ""police.""","The prose is grammatically correct, highly articulate, and well-structured throughout, despite the nonsensical conceptual substitutions.",516,10,"The text consists almost entirely of absurd, fabricated claims, such as citing a 1804 UNICEF survey on dogs levitating on the moon and a 1492 report on flying rocks by the ""Department of Toys, Games, Candy, Sleep and Blankets.""",9,"The text is written with sophisticated sentence structures, excellent transitions, and precise academic prose, completely disguising the absurd nonsense of its content."
q026,astronomy,375,403,9,"The text contains numerous severe factual fabrications, including attributing the discovery to Giuseppe Piazzi in 1807 instead of Asaph Hall in 1877, claiming the moons have masses close to half or 1/33rd of Earth's moon (they are actually micro-fractional), and inventing a ""scarier side"" permanent ",1,"The specific claims, including Asaph Hall's 1877 discovery, the names, origins, dimensions, orbital dynamics, and JAXA's MMX mission, are all factually accurate.",3,"The writing is disrupted by a sudden switch to Chinese characters in the middle of a sentence (""是对你来说可能是更熟悉的那颗""), a corrupted character (""Phobos'ńs""), and contradictory, nonsensical phrasing regarding mass and gravity.",9,"The writing is well-structured, uses diverse sentence patterns, connects paragraphs smoothly, and maintains an appropriate informative register throughout.",401,9,"The text contains massive historical and scientific fabrications, including attributing the 1807 discovery of the moons to Giuseppe Piazzi (rather than Asaph Hall in 1877), absurdly claiming Phobos has half the mass of Earth's Moon, and inventing non-existent phenomena like dust storms caused by Pho",9,"The writing uses varied sentence structures, excellent transitions, and a sophisticated academic register, entirely masking its factual inaccuracies with polished prose.",405,1,"The factual claims—including the discoverer, dates, moon names, sizes, mass estimates, and orbital dynamics—are accurate and sound throughout the text.",9,"The prose is well-constructed, highly articulate, and maintains smooth transitions and a sophisticated register throughout.",404,10,"The text consists almost entirely of absurd, nonsensical, and factually impossible fabrications, such as Beethoven inventing brass bands on Jupiter via French Postal Service culinary experiments in 1942.",10,"The prose is grammatically correct, highly varied, and flows smoothly, maintaining perfect syntax despite the completely absurd content.",438,"Almost every specific claim and domain term in the text—such as ""air is indeed made of two ballets,"" defining a ""car"" as a ""ballet,"" and describing ""water levels"" and ""party of a person's food""—is completely fabricated and incoherent nonsense.","The text suffers from pervasive grammatical errors, unnatural phrasing, repetitive nonsense word usage (""a car,"" ""a group,"" ""water""), and broken clause structures (""make the real life of the air"").",419,"The text consists entirely of absurd, fabricated claims, such as two cows named Butter and Cheese orbiting the sun after being discovered through a police station window in 1999.","Despite the nonsensical content, the text uses grammatically correct, well-structured sentences with smooth transitions and good vocabulary control throughout.",403,10,"The text consists entirely of absurdity and false claims, such as Thomas Edison growing two suns named Butter and Table in 1995 to orbit Jupiter.",8,"The prose is grammatically correct and syntactically varied throughout, maintaining a smooth, competent draft register despite the absurd content."
