вариант,integration,coherence,domains,novelty,literacy,template,punctuation,syntax_complexity,semantic_complexity,naturalness
ngram_2,"Content words from entirely unrelated subjects, such as medical research, film titles, and astrophysics, are collaged together without logical context.",The text consists of fragmented phrases and sentences shuffled together without any connecting argument or narrative flow.,"The text rapidly jumps across vastly different topics, including movie releases, radiation, legal stipulations, dog shows, and military strikes.","Nearly every fragment introduces completely unrelated entities, subjects, and facts in immediate succession.","The passage is heavily damaged, full of broken sentences, stray punctuation tokens, and ungrammatical fragments.","The text lacks any explicit repeating frame or template structure, reading as unstructured noise.",Quotation marks and punctuation marks appear randomly attached to incomplete fragments and broken sentences.,The text is too severely damaged and fragmented for syntactic complexity to be meaningfully evaluated.,"Because the text is a collection of damaged and contextless fragments, it lacks meaningful semantic structure to judge complexity.",The severe degradation and random mixing of unrelated phrases make it impossible for this text to belong to any real genre or serve any purpose.
ngram_4,"Content words switch rapidly between unrelated subject areas including planetary colonization, demonology, news crime reports, Malayalam film cast lists, and mental health discussions.","The passage is composed of disjointed, truncated sentence fragments from disparate sources stitched together with no logical thread.","The text wildly jumps across fields including complex systems science, sci-fi colonization, dark fantasy/magic, local crime news, Indian cinema cast lists, and clinical psychology.",Virtually every sentence introduces completely unrelated concepts and narrative threads not present in the preceding sentence.,"The text contains mid-sentence truncation at the end, nonsensical transitions, stray punctuation, and ungrammatical combinations of disparate clauses.","The text has no visible structural template, list format, or repeating phrasal frame, reading as free continuous prose fragments joined together.","While some individual fragments contain standard punctuation, there are unclosed quotation marks, random hyphenation, and missing terminal punctuation.","Word order and clause boundaries are severely damaged by splicing unrelated texts, making syntax evaluation impossible.","The text is too damaged and incoherent for its semantic claims to form a meaningful, evaluate-able argument.",The text is clearly a machine-generated or deliberately corrupted mashup of unrelated sentences that no human would write.
marker_p3,"Every few words, the noun ""item"" has been artificially inserted as a modifier or filler throughout the entire passage, rendering the vocabulary highly corrupted.","Despite the intrusive inserted word, the underlying text maintains a clear progression of ideas from explaining the problem of modeling complex systems to introducing curriculum learning.","The text stays focused on a single topic, covering physical system modeling, computational constraints, machine learning, and ergodic theory to address curriculum learning.","The text steadily advances its argument, introducing new concepts such as neural networks, curriculum learning, and ergodic theory in sequential sentences.","While the underlying sentences are well-formed English, the text is heavily damaged by the systematic intrusion of stray ""item"" tokens across every clause.","The text is standard continuous academic prose without any repeating structural frame, list format, or explicit template layout.","Sentences and clauses retain standard punctuation marks like commas, colons, and periods, but their placement relative to the intruding ""item"" words creates unnatural boundaries.",The text exhibits complex sentence structures with multiple subordinate clauses and passive constructions beneath the repeated token insertions.,"The content deals with abstract concepts in machine learning, dynamical systems, and ergodic theory that require sustained reader attention.","No real genre or authentic purpose accounts for a text with the word ""item"" inserted every three to four words."
hapax_swap_wide,"Many content words appear completely arbitrary and unrelated to the context, such as ""angiogram,"" ""tablespoons,"" and ""tasmanian mistruths.""","While some underlying structure of a scientific paper remains, the text fails to form a connected argument due to extensive word corruption.","The text randomly mixes terms from physics, medicine, geography, and household items due to word degradation.","The text continuously introduces unpredictable, random words from entirely different subjects sentence after sentence.","Syntactic structures collapse frequently, featuring severe grammatical errors and inappropriate word insertions like profanity and fragments.",The text maintains the typical format and section progression of a standard scientific abstract.,Basic sentence boundaries and punctuation marks are generally intact despite the underlying text being heavily corrupted.,"The underlying syntax attempts complex academic structures with complex clause arrangements, though severely damaged.",The severe semantic corruption makes the content impossible to follow as a meaningful intellectual argument.,The text is severely degraded by random word substitutions and is clearly not authentic human writing in its current form.
inject_topic,"While most of the text uses precise scientific terminology, the final sentence introduces arbitrary and out-of-context insertions like ""book publications about animals.""","The text builds a coherent argument about curriculum learning for dynamical systems until the final sentence, which abruptly strays into unrelated topics.","The text mainly focuses on machine learning and dynamical systems, but briefly touches on robotics, business services, and book publications about animals at the end.",The passage steadily introduces new concepts from curriculum learning to ergodic theory and entropy-based metrics.,"The text is well-written prose with minor mechanical flaws such as the misspelling of ""buisness.""",The text follows a standard academic abstract format without using any rigid repeating frames or rigid fill-in structures.,"Commas, colons, and periods are used correctly throughout the text to delineate complex academic sentences.","The writing features sophisticated sentence structures with embedded clauses, participial phrases, and varied connectors.","The content demands that the reader follow a layered scientific argument involving ergodic theory, dynamical systems, and entropy metrics.","The text reads mostly as a genuine academic paper, though a couple of odd editorial insertions make it slightly unnatural near the end."
syn_none,Every technical and mathematical content word is precisely chosen and perfectly fits the context of physics-informed machine learning.,The text advances seamlessly from the initial modeling problem to the proposed curriculum learning solution and its specific empirical results.,"The text stays strictly within the domain of computational science, dynamical systems, and machine learning.","Each sentence introduces new aspects of the methodology, moving from problem definition to specific ergodic theory insights and entropy metrics.",The prose is completely free of grammatical defects and reads as standard academic writing.,The text follows standard academic abstract formatting without any explicit structural template or repeating frame.,All sentence boundaries and internal clauses are correctly and naturally punctuated.,"The text features complex sentence constructions with frequent subordination, relative clauses, and multi-layered arguments.","Understanding the text requires holding abstract concepts like ergodic theory, entropy metrics, and curriculum learning in mind simultaneously.","The passage is an entirely natural, well-written abstract from a scientific paper."
syn_max,"The content words are precisely chosen technical terms from dynamical systems, machine learning, and physics that fit their exact semantic context.","The text forms a single, well-structured scientific abstract that logically moves from a problem statement to a proposed curriculum learning solution and specific theoretical/empirical findings.","The text stays focused on data-driven modeling of complex dynamical systems, bringing in related concepts from ergodic theory, physics, machine learning, and entropy.","Each sentence systematically introduces a new phase of the research, moving from challenges to methodology, theoretical foundations, metrics, and key findings.","The text is written in clean, highly proficient, and publishable academic English with no grammatical errors.",The text follows standard continuous prose suitable for a journal or conference abstract without using explicit structural templates or repeating sentence frames.,"Punctuation is used correctly throughout the text to manage complex sub-clauses, semi-colons, and sentence boundaries.","The sentences feature advanced syntactic structures including multiple nested dependent clauses, participial modifiers, and varied embedded phrases.","The abstract presents a dense, abstract argument combining concepts from machine learning, ergodic theory, and dynamic complexity metrics.",The text reads completely naturally as an authentic academic paper abstract written by domain experts.
style_literary,"Every technical and academic content word, such as ""ergodic theory"" and ""generalizability,"" fits its exact conceptual place in the passage.","The passage opens with a problem in modeling complex systems, reviews generic data-driven approaches, identifies key unanswered questions, and presents a curriculum learning solution that advances logically to its final claims.","The text stays focused on computational modeling, dynamical systems, computational physics, and machine learning curriculum design.",Each sentence moves the paper forward from background problems to specific methodological proposals and empirical findings.,"The prose is fully well-formed, sophisticated, and grammatically flawless publishable academic English.","The text follows standard academic abstract formatting, moving smoothly from problem formulation to proposed methodology and results without rigid phrasal structures.","Em dashes, commas, and periods are used correctly throughout to manage complex clause structures.","The text relies on long, periodic sentences with layered subordinate clauses, participial modifiers, and embedded relative clauses.","The argument requires tracking abstract mathematical concepts like ergodic theory, dataset entropy, and generalizability in dynamical systems across sentences.",The writing is a completely natural and polished example of an abstract for a scientific journal article.
essay_one_topic,Every content word is precisely chosen for the domain of computational science and machine learning.,"The text forms a single, continuous academic argument that logically progresses from the problem to the methodology, theoretical groundwork, and experimental findings.",The text stays focused on the single subject of using curriculum learning and entropy metrics to model complex dynamical systems.,"Each sentence advances the abstract by introducing theoretical motivation, specific methodological steps, or key conclusions.","The prose is flawless, formal academic English without any grammatical or mechanical errors.","The text follows the standard structural flow of a scientific abstract (context, problem, proposed method, results, and broader implications) in continuous prose.","Punctuation is entirely correct, using commas, semicolons, and periods appropriately throughout complex sentences.","Sentences feature advanced syntactic structures with multiple subordinate clauses, participial phrases, and complex embedding.","The text requires the reader to track abstract concepts involving ergodic theory, entropy metrics, curriculum learning, and dynamical systems theory.","The text reads as an authentic, high-quality abstract written for a peer-reviewed machine learning or scientific computing journal."
script_events,Every technical term and action verb fits the setting of a dynamic systems research laboratory.,"The narrative follows a continuous, logical progression of a research breakthrough from initial problem to solution and documentation.",The text remains focused on machine learning and dynamical systems within a research lab setting.,"Each sentence advances the scene with new actions, ideas, or computational results.","The prose is clean, grammatically sound, and fully readable with no obvious errors.",The text strictly follows a screenplay script format indicated by scene headers and camera direction markers like FADE OUT.,All sentences are cleanly punctuated with appropriate capitalisation and full stops.,"The writing relies almost entirely on short, simple declarative sentences with minimal subordination.",The text presents a clear series of concrete actions involving data science concepts without deep abstract argument.,The passage reads naturally as a well-crafted scene from an instructional or descriptive screenplay.
style_record_fields,"Every technical and scientific content word fits its precise context in machine learning, complex physical systems, and ergodic theory.","The text consists of four distinct sub-blocks that each address related aspects of dynamic physical system modeling, though they function as discrete structural entries rather than a single flowing essay.","The text covers machine learning, physics, dynamic control systems, ergodic theory, and information theory.","Each section introduces a new domain, problem, strategy, analysis, and outcome, rapidly providing fresh information without repeating previous material.","The writing features high-quality, publishable scientific English without grammatical or typographical defects.","The text is strictly organized around a repeated structural frame consisting of labeled headers (Domain, Problem, Strategy, Analysis, Outcome) for each section.","Punctuation is used correctly throughout, adhering perfectly to standard English grammar and the formatting conventions of labeled text fields.","Sentences feature complex structure, including passive constructions, participle phrases, and multiple levels of domain-specific elaboration.","The content demands significant domain knowledge in deep learning, dynamic systems, and ergodic theory, requiring the reader to hold complex abstract concepts in mind.","The text reads like a naturally written structured executive summary, structured abstract, or grant document outline written by a domain expert."
style_catechism,The content words fit their syntactic contexts precisely throughout the academic abstract.,"The text progresses logically through a research problem, methodology, and results, though the rhetorical flow is interrupted by repeating introductory questions.",The text stays strictly within the domain of computational science and machine learning for dynamical systems.,"Each sentence advances the passage by introducing new aspects of the study, such as curriculum learning, ergodic theory, and entropy metrics.","The prose is completely free of grammatical errors, typos, or mechanical defects.","The text is governed by an explicit and rigid question-and-answer template, with every single sentence beginning with the exact phrase ""What can be stated about..."".",Punctuation is used correctly throughout the text to set off question marks and standard sentence boundaries.,"The sentences exhibit advanced syntactic structures with participial phrases, prepositional embeddings, and complex nominal clauses.","The content involves abstract scientific concepts such as ergodic theory, dataset entropy, and dynamical system modeling that require sustained attention.","While clearly human-written in its domain terminology, the artificial repetition of the question frame makes the text feel contrived rather than fully natural."
style_code,"Every technical term and variable name is precise, fitting the context of scientific machine learning and dynamical systems seamlessly.","The text forms a logical Python module that sequentially introduces a scientific modeling problem, defines a curriculum learning strategy, and evaluates it using ergodic theory.",The text remains focused on data-driven modeling of complex dynamical systems using physics-informed machine learning and ergodic theory.,"Each docstring and function introduces a distinct aspect of the methodology, moving from the initial problem statement to strategy implementation and quantitative evaluation.","The code structure and English docstrings are syntactically sound, clean, and entirely free of grammatical defects.","The text is structured strictly as a Python module featuring docstrings, function signatures, and simple procedural code blocks.",Standard Python formatting rules and formal academic English punctuation are followed impeccably throughout.,"The docstrings contain complex, well-structured academic prose with multiple subordinate clauses, while the accompanying code consists of simple function definitions.","The content involves abstract scientific concepts such as ergodic theory, entropy as a complexity metric, and dynamical system generalizability that require domain-specific knowledge to follow.",The text reads naturally as a well-documented Python source code file written for a scientific computing or research project.
style_equations,"Every technical term, mathematical variable, and domain-specific verb fits the context of machine learning applied to physical dynamical systems precisely.","The text forms a logical academic narrative that systematically progresses from defining the physical system to formulating the neural network approximation, introducing curriculum learning, and deriving data bounds.","The passage stays focused on a single technical subject, drawing appropriately on related subfields like dynamical systems, deep learning, information theory, and ergodic theory.","Each numbered equation and sentence introduces a distinct logical step in the framework, advancing from problem formulation to model structure, dataset complexity, bounds, and optimization.","The text is written in flawless, highly formal academic English with clear grammatical construction throughout.",The passage follows standard academic prose conventions interleaved with numbered mathematical equation displays.,Punctuation is used correctly and precisely according to standard mathematical and prose publishing norms.,"The text features complex sentence structures with nested relative clauses, prepositional phrases, and mathematical expressions.","The reader must track abstract mathematical concepts, parameterizations, and theoretical guarantees across connected sections.","The writing is a completely natural, high-quality excerpt representative of a machine learning or applied mathematics conference paper."
style_anaphora,"Every content word fits the context of machine learning and dynamical systems research perfectly, though the text suffers from structural repetition.","The passage logically advances a research agenda from problem statement to methodology and results, despite the repetitive sentence starters.",The text stays strictly within the domain of data-driven modeling of complex dynamical systems and machine learning.,"Each sentence systematically introduces a distinct aspect of the research paper's motivation, method, or findings.","The text consists of grammatically flawless, highly readable academic English sentences.","Every single sentence mechanically begins with the exact same phrase, ""In this work, we [verb],"" creating an extreme artificial repeating frame.",Every sentence uses correct internal comma placement and closing punctuation throughout.,"The text features complex sentence structures with subordination, embedded clauses, and varied academic phrasing following the initial frame.","The content involves abstract theoretical concepts such as ergodic theory, entropy-based dataset design, and dynamical system generalizability.","The artificial repetition of ""In this work, we"" at the start of every sentence makes the text highly unnatural despite its proper academic phrasing."
syntax_monotone,"The content words generally fit the scientific domain, though phrases like ""throughout the age"" feel slightly generic or misplaced.","The text forms a continuous, logical narrative outlining a problem in computational modeling and introducing a curriculum learning approach to solve it, though it cuts off abruptly at the final word.","The passage remains strictly focused on machine learning, computational physics, and predictive modeling without straying into unrelated subjects.","Each sentence progressively builds the argument by stating the domain problem, current limitations, existing approaches, and finally the proposed curriculum learning solution.","The prose consists of well-formed English sentences, though the text abruptly terminates on a trailing word at the end.","The text is standard continuous academic prose without any repeating structural frames, bullet points, or fixed formulaic patterns.","Sentence boundaries and punctuation marks are used correctly throughout, with only the truncated final word lacking a closing period.",The writing relies almost entirely on simple declarative sentences with minimal subordination or embedded clauses.,"The text discusses abstract scientific concepts like generic functional formats, computational constraints, and curriculum learning strategies, requiring some background knowledge to follow.","The text reads like an authentic academic abstract or introductory section, despite being slightly cut off at the very end."
syntax_varied,"Every technical and mathematical content word, such as ""ergodic theory,"" ""entropy,"" and ""generalizability,"" fits its precise place in the scientific context.","The text forms a single, well-structured research introduction that logical moves from stating a problem to describing a proposed curriculum learning methodology.",The text remains strictly within the single domain of machine learning applied to physics and complex dynamical systems.,"Each sentence advances the passage logically by introducing new aspects of the problem, the proposed method, or specific experimental findings.","The writing is clear, syntactically well-formed, and completely free of grammatical or typographical errors.","The text is written as standard continuous academic prose, using conventional scientific abstract/introduction structuring without a rigid repeating phrasal template.","All commas, periods, and question marks are correctly placed according to standard formal English conventions.","Sentences feature complex structures including relative clauses, participial phrases, rhetorical questions, and varied passive constructions.","The content deals with high-level abstract concepts in machine learning theory, dynamic systems modeling, and information theory that require careful reader tracking.","The text is fully natural as an academic abstract, though slightly stylized by occasional passive voice shifts and rhetorical questions."
syntax_simple,Every technical term and content word fits the context of data-driven physics modeling and machine learning precisely.,The passage presents a logical progression from defining a scientific problem to introducing a method and outlining specific contributions.,"The text remains focused on a single topic, covering physical system modeling, machine learning, ergodic theory, and entropy as related facets of the subject.","Each sentence advances the argument by introducing specific challenges, strategies, or contributions without simply repeating earlier claims.","The writing is clear, well-formed, and completely free of grammatical or mechanical errors.",The text consists of standard continuous prose with a slight stylistic tendency toward repetitive short sentences in the middle section.,Punctuation is used correctly throughout to delimit all sentence boundaries cleanly.,"Sentences feature moderate variety, though several consecutive sentences rely on simple, short main clauses.",The content deals with abstract scientific concepts like ergodic theory and dataset entropy in data-driven dynamical modeling.,"The text reads like an authentic scientific paper abstract, despite a slightly choppy style in a few short sentences."
syntax_complex,"Every technical and academic content word, such as ""ergodic theory,"" ""generalizability,"" and ""entropy,"" fits its precise place in the context of machine learning and dynamical systems.","The text advances seamlessly from identifying a modeling bottleneck in predicting complex systems to introducing data-driven alternatives, highlighting their limits, and presenting a curriculum learning solution based on entropy.","The passage stays focused on a single topic, examining the data-driven modeling of complex dynamical systems through curriculum learning and ergodic theory.","Each sentence steadily advances the paper's thesis by introducing the problem, the current limitations, the proposed curriculum strategy, and the theoretical tools used to evaluate it.","The text consists of impeccably structured, clean, and publishable academic English.","The text follows the standard continuous prose format of a scientific abstract, progressing naturally from background to proposed method without relying on repeating formal frames or lists.","Commas, colons, and hyphens are used correctly throughout to manage long compound-complex sentences.","The sentences feature multi-clause structures with complex subordination, participial phrases, and embedded relative clauses typical of high-level scientific writing.","The argument requires the reader to track abstract mathematical and machine learning concepts like ergodic theory, data complexity metrics, and curriculum convergence across multiple sentences.",The text is a completely natural and high-quality specimen of a scientific abstract written for a peer-reviewed journal.
context_locked,"The content words belong precisely to the domain of physics and data science, although there is a minor accidental phrasing duplication in the second sentence.","The text advances logically from stating a problem in predicting temporal behavior, through existing machine learning approaches, to proposing and validating a novel curriculum learning strategy based on entropy.","The passage stays focused on data-driven modeling of complex dynamical systems while drawing on concepts from ergodic theory, robotics, and entropy metrics.","Each sentence moves the paper forward, introducing specific concepts like ergodicity and entropy metrics to solve the general generalization problem.","The prose is well-formed academic writing, marred only by an accidental duplication of the clause ""describing the physics of the system under consideration"" in the second sentence.","The text follows standard scientific abstract organization, outlining the background problem, existing approaches, proposed method, and key findings.","Punctuation is used correctly throughout to manage parenthetical clauses, lists, and complex subclauses.",The text uses sophisticated sentence structures with multiple embedded subordinate clauses and introductory participial phrases.,"The material presents a dense academic argument involving mathematical abstractions like ergodic theory, temporal behavior, and dynamic system entropy.","Aside from a slight drafting error involving duplicated words in the second sentence, this reads naturally as a standard manuscript abstract."
terms_long,Every technical and academic term fits precisely within the context of data-driven physics modeling and curriculum learning.,The text logically moves from identifying a fundamental modeling problem to proposing a curriculum learning solution and detailing its implementation and results.,"The text remains focused on a single topic, examining data-driven modeling of dynamical systems using machine learning and ergodic theory.","Each sentence advances the abstract by introducing specific challenges, proposed strategies, theoretical framing, or empirical findings.","The passage is clean, well-crafted academic prose with no mechanical or grammatical errors.",The text follows the standard structural conventions of a scientific paper abstract without using an explicit repeating frame.,"All commas, colons, and semicolons are used correctly according to standard academic writing conventions.","The writing features sophisticated sentence structures with embedded relative clauses, introductory participial phrases, and complex subordination.","The content demands a strong grasp of abstract concepts like ergodic theory, curriculum learning, and entropy metrics in complex dynamical systems.",The text is a flawless and fully natural example of a formal scientific abstract written for publication.
add_punctuation,"Every content word fits the technical context of machine learning, ergodic theory, and dynamic systems precisely without any arbitrary substitutions.","The text forms a single, sustained scientific abstract that logically moves from introducing a problem to presenting a specific curriculum learning approach and its results.",The text remains focused on data-driven modeling of complex dynamic systems using machine learning and ergodic theory.,"The text steadily advances from the broad challenge of modeling complex systems to a specific solution using curriculum learning, entropy metrics, and experimental findings.","The underlying grammatical structure and vocabulary are clean and well-formed, despite being severely disrupted by inserted commas and semicolons.","The text is formatted as standard continuous prose typical of an academic abstract, without any rigid repeating frames or labeled fields.","The text is filled with excessive, arbitrary commas and semicolons inserted mid-clause that break sentence boundaries inappropriately.","Sentences feature advanced syntactic structures with multiple relative clauses, participial phrases, and compound-complex embeddings.","The content involves abstract scientific concepts such as ergodic theory, dataset entropy metrics, dynamic systems, and model generalizability.","While clearly an authentic academic paper abstract in content, the pervasive ungrammatical punctuation renders it unnatural to read."
strip_punctuation,Every technical and academic content word fits its precise context in the field of data-driven physics modeling without any arbitrary or misplaced terminology.,"The text forms a single, well-structured scientific introduction that smoothly moves from problem statement to existing work, proposed methodology, and key contributions.","The passage stays focused on machine learning applied to physics and dynamical systems, incorporating insights from ergodic theory and entropy within that single topic.","Each sentence advances the argument logically by adding new context, methodologies, or specific findings without restating earlier points.","The writing consists of clean, highly formal academic prose, though it is missing sentence-ending periods throughout the text.","The text is standard continuous academic prose without any visible structural framing, bullet points, or repetitive sentence patterns.","Major sentence boundaries are completely unpunctuated with missing full stops, though internal comma usage is generally sound.","Sentences feature advanced syntactic constructions, including participial clauses, multiple embedded subordinate clauses, and complex noun phrases.","The content demands active reader engagement to track abstract mathematical concepts such as ergodic theory, entropy metrics, and data-driven dynamical systems.","The text is clearly an authentic excerpt from a scientific paper, rendered slightly artificial only by the systematic omission of full stops."
