токен,класс,k,до ближайшего,сосед свой
2,пункт,1,0.5545813320549261,False
Ġgraph,смысл-редк,1,0.706688779943195,False
im,подслово,1,0.7882184897492516,False
INF,подслово,1,0.7694766937875163,False
Ġcontrols,смысл-редк,1,0.6458623003895256,False
Ġadversary,смысл-редк,3,0.3219071484000584,True
SRC,подслово,2,0.2042748184705226,True
Ġ$,пункт,3,0.4046297523123405,True
Ġthe,служ,6,0.3432861377862366,True
Ġimpossible,смысл-редк,1,0.8254749922144387,False
Ġa,служ,5,0.3803332745603712,True
Ġcircumvent,смысл-редк,1,0.8289626918347628,False
grades,подслово,1,0.7820238951992567,False
able,подслово,1,0.6770045583852989,False
Ġwith,служ,2,0.5360736726907845,True
values,подслово,1,0.6610869563585151,False
Ġis,служ,4,0.4931972161924563,True
V,подслово,1,0.4943429338984814,False
",",пункт,10,0.24340044825823548,True
(,пункт,5,0.22878953719367506,True
Ċ,пункт,13,0.20212285047483916,True
n,подслово,1,0.5976239620920797,False
Ġ$,пункт,3,0.42279156476310464,True
Ġfor,служ,1,0.7195740499535556,False
),пункт,8,0.5303592344304429,True
Ġborder,смысл-редк,1,0.703772248538448,False
Ġ$,пункт,3,0.4046297523123405,True
$,пункт,3,0.6580454662557217,False
$-,пункт,2,0.3856244552533584,True
Ġis,служ,4,0.4931972161924563,True
),пункт,8,0.3378518800251562,True
Ġat,служ,2,0.5017112167881345,True
Ġ(,пункт,2,0.5515372938045343,True
poss,подслово,1,0.8141650715883199,False
Ġis,служ,4,0.5942657500048975,True
Ġcomponents,смысл-редк,1,0.7259989709172221,False
gu,подслово,1,0.7553002905648288,False
(,пункт,5,0.1699585993165645,True
Ġto,служ,3,0.4976551140552557,True
Ġto,служ,3,0.4976551140552557,True
ĠWe,служ,3,0.23970158987427403,True
Ġguarantees,смысл-редк,1,0.649034265046704,False
Ġa,служ,5,0.3990678826810263,True
$,пункт,3,0.34526868788688664,True
Ġthe,служ,6,0.44966729868197847,True
Ġmessage,смысл-редк,4,0.1881912037717196,True
Ġintroduce,смысл-редк,1,0.6798200792897202,False
Ġ+,пункт,1,0.8032472935660993,False
),пункт,8,0.3547302697614848,True
),пункт,8,0.39308454999922066,True
Ġdynamic,смысл-редк,3,0.5061659055923716,True
algorithm,подслово,1,0.6624926034944114,False
v,подслово,1,0.8014872444970552,False
Ċ,пункт,13,0.2024975587430782,True
),пункт,8,0.36234853791360616,True
",",пункт,10,0.35875857822319424,True
ĠV,смысл-част,4,0.44974741458201367,True
Ġdynamic,смысл-редк,3,0.2546388319855102,True
Ġconnected,смысл-редк,1,0.8317127854874182,False
(,пункт,5,0.22217828580829302,True
ĠOur,служ,2,0.2806390242751726,True
Ġdiameter,смысл-редк,1,0.6793069518726599,False
$,пункт,3,0.34526868788688664,True
Ġpresent,смысл-част,1,0.7218100860929233,False
Ġin,служ,3,0.36499702025530817,True
Ġavailability,смысл-редк,1,0.7544435195671308,False
k,подслово,6,0.28248607463001374,True
Ġvalues,смысл-редк,1,0.6458623003895256,False
Ġmessage,смысл-редк,4,0.1881912037717196,True
Ġgeneral,смысл-част,1,0.7126035916308798,False
fully,подслово,1,0.7149376582444235,False
Ġactual,смысл-редк,1,0.7544435195671308,False
Ġdeal,смысл-част,1,0.8695000163735433,False
Ġa,служ,5,0.3803332745603712,True
Ġin,служ,3,0.36499702025530817,True
J,подслово,2,0.21872424401975246,True
message,подслово,1,0.6614528041941897,False
Ġto,служ,3,0.5118368956386353,True
d,подслово,3,0.38947683277899964,True
Ċ,пункт,13,0.20212285047483916,True
Ġsame,служ,1,0.7928455169466226,False
Ċ,пункт,13,0.6870273324003733,True
vers,подслово,1,0.7256854217562037,False
",",пункт,10,0.26210635163959334,True
",",пункт,10,0.37730801986053686,True
k,подслово,6,0.3449215570372764,True
Ċ,пункт,13,0.2024975587430782,True
aries,подслово,1,0.46205373053015447,False
SRC,подслово,2,0.2042748184705226,True
arant,подслово,1,0.7856866472882126,False
Ġagreement,смысл-редк,2,0.2858353289337929,True
ĠOur,служ,2,0.2806390242751726,True
Ġsome,служ,1,0.7000383091453318,False
Ġagreement,смысл-редк,2,0.2858353289337929,True
Ġcontains,смысл-редк,1,0.7475367656335583,False
ĠV,смысл-част,4,0.16499916083394325,True
Ċ,пункт,13,0.2288103149815188,True
Ġthat,служ,2,0.7132333518739217,True
Ċ,пункт,13,0.25635234497809956,True
Ġmessage,смысл-редк,4,0.33633960319628464,True
agreement,подслово,1,0.548259434593208,False
Ġnetworks,смысл-редк,1,0.6735611353718093,False
d,подслово,3,0.3385467033127479,True
",",сток,10,0.14560034233427943,False
ĠV,смысл-част,4,0.16499916083394325,True
Ġthat,служ,2,0.7132333518739217,True
ient,подслово,1,0.7149376582444235,False
Ġthat,служ,6,0.3921838987329653,True
Ġand,служ,1,0.7913118495281422,False
Ġat,служ,1,0.7763222961433578,False
Ġshow,смысл-част,1,0.5965200656920585,False
Ġdeal,смысл-част,1,0.8669165515997936,False
Ġhope,смысл-редк,1,0.7677769031833434,False
Ġ(,пункт,3,0.48613083317753913,True
Ġcomponents,смысл-редк,2,0.3744343903230058,True
(,пункт,3,0.22249637368529876,True
Ġ$,пункт,4,0.2792759988485641,True
Ċ,пункт,16,0.18624922242755662,True
Ġa,служ,5,0.3453055985605513,True
.,пункт,1,0.7413601715922233,False
for,подслово,1,0.7251392677712132,False
Ġhand,смысл-част,1,0.898446638410908,False
Ġmessage,смысл-редк,3,0.4235808506377148,True
ibility,подслово,1,0.6478060938189593,False
Ċ,пункт,16,0.34246896705548485,True
ĠH,смысл-част,1,0.6462415719632207,False
Ċ,пункт,16,0.2305799441696214,True
Ċ,пункт,16,0.18624922242755662,True
$,пункт,3,0.3479390113286942,True
Ġnot,служ,1,0.8020369663747569,False
Ġprove,смысл-редк,1,0.5965200656920585,False
We,подслово,1,0.4961599865459866,False
Ġdynamic,смысл-редк,2,0.5100806152969187,True
Ġstronger,смысл-редк,1,0.8302521661341538,False
Ġevery,служ,1,0.6553474581536153,False
$,пункт,3,0.3479390113286942,True
ad,подслово,2,0.27243169455811717,True
ĠV,смысл-част,2,0.3892340205915987,True
Ġmost,служ,2,0.518406015727808,True
Ġa,служ,5,0.448622149554799,True
Ġguarantees,смысл-редк,1,0.7956770781447126,False
Ċ,пункт,16,0.18794793982101848,True
Ġ$,пункт,4,0.2706840964668501,True
Ġde,смысл-част,1,0.7284230646837084,False
Ġprovide,смысл-част,1,0.6484175706632747,False
/,пункт,1,0.6856702382843135,False
Ċ,пункт,16,0.26066745311442013,True
Ġadvers,смысл-редк,1,0.7214020945593892,False
Ċ,пункт,16,0.20337819543590488,True
Ġborder,смысл-редк,1,0.7636882689243516,False
Ġ+,пункт,1,0.5629655570864852,False
set,подслово,2,0.28122564195402944,True
INF,подслово,1,0.7684875207540021,False
Ġcircumvent,смысл-редк,1,0.8353739262908554,False
ĠV,смысл-част,2,0.3892340205915987,True
Ġthat,служ,6,0.29933473347958023,True
Ġnetwork,смысл-част,2,0.37869267187528644,True
Ġagreement,смысл-редк,1,0.6058668705090442,False
Ġis,служ,3,0.1911068388387828,True
k,подслово,5,0.509071441736832,True
Ġtermination,смысл-редк,1,0.653070906675883,False
Ġis,служ,3,0.5919308318276676,True
uniform,подслово,1,0.7141360000258243,False
Ġthat,служ,6,0.29933473347958023,True
),пункт,3,0.5716487798634791,True
Ċ,пункт,16,0.21610213459167932,True
ible,подслово,1,0.6478060938189593,False
Ċ,пункт,16,0.26771924960583016,True
Ġof,служ,3,0.4328654091180652,True
Ġcontains,смысл-редк,1,0.797429595576752,False
-,пункт,1,0.7759766571822097,False
k,подслово,5,0.27867704210470473,True
set,подслово,2,0.28122564195402944,True
Ġin,служ,4,0.36781992350014847,True
feas,подслово,1,0.903317376726996,False
Ġconsecutive,смысл-редк,1,0.819488550319087,False
V,подслово,1,0.5296767000952697,False
have,подслово,1,0.7352067802106466,False
$-,пункт,1,0.8057753493763872,False
Ġ(,пункт,3,0.48613083317753913,True
ĠMA,смысл-редк,1,0.8150959313128413,False
",",пункт,10,0.26413349386124524,True
:,пункт,2,0.33666208039036244,True
ing,подслово,2,0.5176633807253241,True
Ġ(,пункт,3,0.5411741356083926,True
message,подслово,1,0.6498178482765417,False
Ġmessage,смысл-редк,3,0.44339089551045363,True
Ġsignificant,смысл-редк,1,0.8168637738476974,False
",",сток,10,0.04117493094596247,False
ad,подслово,2,0.27243169455811717,True
ee,подслово,1,0.7453312013813719,False
Ġensuring,смысл-редк,1,0.653070906675883,False
Ġdiameter,смысл-редк,1,0.7101320393063089,False
",",пункт,10,0.2862628070987229,True
Ġdirected,смысл-редк,1,0.6191658565326581,False
infty,подслово,1,0.9169824798969591,False
Ċ,пункт,16,0.19805852784323102,True
",",пункт,10,0.3735807242755487,True
H,подслово,1,0.6462415719632207,False
Ġthe,сток,4,0.04117493094596247,False
Ġprocesses,смысл-редк,1,0.7169202002014285,False
Ġdynamic,смысл-редк,2,0.5100806152969187,True
isc,подслово,1,0.7260691498492188,False
(,пункт,3,0.1939332857058917,True
Ġcomponents,смысл-редк,2,0.3744343903230058,True
k,подслово,5,0.29561208414328,True
(,пункт,3,0.1939332857058917,True
Ġthat,служ,6,0.36331700848407766,True
Ġgeneral,смысл-част,1,0.7184177213969013,False
Ġbetween,служ,1,0.730649178791348,False
Ġa,служ,5,0.20067289972356958,True
$,пункт,3,0.4700863395830993,True
Ġthe,служ,4,0.37286417963818613,True
:,пункт,2,0.33666208039036244,True
agreement,подслово,1,0.6058668705090442,False
Ġd,служ,2,0.2659021347745603,True
Ġomn,смысл-редк,1,0.7260691498492188,False
Ġadversary,смысл-редк,3,0.3193680264780724,True
Ġsome,служ,1,0.6553474581536153,False
Ċ,пункт,16,0.2583349854554244,True
Ġlinks,смысл-редк,2,0.5335183588144237,True
Ġonly,служ,1,0.7533587587244719,False
),пункт,3,0.48805541127688534,True
Ġadversary,смысл-редк,3,0.3193680264780724,True
).,пункт,1,0.7776856121830317,False
Ġworks,смысл-част,1,0.7320160042253216,False
"$,",пункт,1,0.6368356767967466,False
Ġadversary,смысл-редк,3,0.3264666632285615,True
Ġmeans,смысл-част,1,0.781207539708513,False
SRC,подслово,2,0.2635882812404489,True
Ġd,служ,2,0.2659021347745603,True
Ċ,пункт,16,0.24239666040155036,True
Ġin,служ,4,0.20742780813634137,True
Ċ,пункт,16,0.20276762549685395,True
Ġunder,служ,2,0.3291130161054214,True
Ġagainst,служ,1,0.6880100977803687,False
ens,подслово,1,0.831928213118337,False
Ġlinks,смысл-редк,2,0.5335183588144237,True
),пункт,3,0.48805541127688534,True
Ġsol,смысл-редк,1,0.785543876442158,False
Ġof,служ,3,0.39362402414980374,True
Ċ,пункт,16,0.3380563325121622,True
",",пункт,10,0.26413349386124524,True
Ġthe,служ,4,0.38695135800353214,True
Cs,подслово,1,0.7649316416463366,False
Ġwhere,служ,1,0.7914413221259036,False
stable,подслово,1,0.7565204793079616,False
k,подслово,5,0.27867704210470473,True
Ġpower,смысл-част,1,0.7879865796357687,False
",",пункт,10,0.3374391363455502,True
Ċ,пункт,16,0.18794793982101848,True
Ċ,пункт,16,0.20337819543590488,True
Ġcertain,смысл-част,1,0.6894172674241599,False
Ġvertex,смысл-редк,1,0.7682705674912929,False
ĠWe,служ,2,0.2415554526684858,True
Ġimposs,смысл-редк,1,0.8684449843311778,False
Ġsynchronous,смысл-редк,1,0.5730441336616418,False
aries,подслово,1,0.5902831305342761,False
Ġa,служ,5,0.40716524655070185,True
of,подслово,1,0.6384554765177216,False
k,подслово,5,0.40220182790564823,True
Ġin,служ,4,0.20742780813634137,True
Ġ-,пункт,1,0.5629655570864852,False
SRC,подслово,2,0.2635882812404489,True
Ġsmall,смысл-част,1,0.729411759549603,False
J,подслово,1,0.7268742184570288,False
v,подслово,1,0.785543876442158,False
Ġtowards,служ,1,0.7661522407396963,False
Ġcausal,смысл-редк,1,0.6847497207382806,False
values,подслово,1,0.6661998323839706,False
Ġ$,пункт,4,0.2706840964668501,True
Ġmuch,служ,1,0.7202767213504244,False
Ġvalues,смысл-редк,1,0.6661998323839706,False
",",пункт,10,0.35650900212118336,True
Ġgraph,смысл-редк,1,0.6866173910666981,False
ing,подслово,2,0.5176633807253241,True
Ġunder,служ,2,0.3291130161054214,True
ĠOur,служ,1,0.5973792731098765,False
Ġin,служ,4,0.5947880245645647,True
Ġfor,служ,1,0.7251392677712132,False
Ġdecision,смысл-част,1,0.7466260798658122,False
Ġgrace,смысл-редк,1,0.8569587257201435,False
ĠOn,служ,1,0.8820840280660683,False
Ġa,служ,5,0.20067289972356958,True
",",пункт,10,0.2862628070987229,True
Ġis,служ,3,0.1911068388387828,True
Ġthat,служ,6,0.5331538221214946,True
ĠWe,служ,2,0.2415554526684858,True
d,подслово,1,0.48474096799932587,False
Ġ$,пункт,4,0.2848809527710567,True
Ġdistributed,смысл-редк,1,0.5730441336616418,False
",",пункт,10,0.46931425218378864,True
",",пункт,10,0.3374391363455502,True
ary,подслово,1,0.5902831305342761,False
Ġmost,служ,2,0.518406015727808,True
wide,подслово,1,0.733467746668049,False
Ġmessage,смысл-редк,3,0.4235808506377148,True
provide,подслово,1,0.6484175706632747,False
Ġconditions,смысл-част,1,0.6921836692757564,False
Ġnetwork,смысл-част,2,0.37869267187528644,True
Ġof,служ,3,0.39362402414980374,True
Ġthe,служ,4,0.37286417963818613,True
encoded,подслово,1,0.7827180944575688,False
Ġweak,смысл-редк,1,0.7174337925614609,False
Ġthat,служ,6,0.3921838987329653,True
ly,подслово,1,0.8347665795567616,False
Ġdegrad,смысл-редк,1,0.7284230646837084,False
Ġ$\,пункт,1,0.7507676164874931,False
aries,подслово,1,0.5804941164446028,False
Ġnetwork,смысл-част,2,0.376345713631001,True
",",пункт,9,0.3290912077766596,True
.,пункт,3,0.2216037518656682,True
J,подслово,1,0.7793746707963947,False
Ġis,служ,4,0.4195428450950717,True
Ġguarantees,смысл-редк,1,0.6881665708762132,False
Ġ2,пункт,1,0.7850564583171,False
Ġ1,пункт,1,0.7850564583171,False
Ġlinks,смысл-редк,1,0.6991848972493031,False
-,пункт,1,0.8189388165321221,False
",",пункт,9,0.2939426929756821,True
Ġexact,смысл-редк,1,0.6703142586717019,False
Ġshow,смысл-част,2,0.2274200647442402,True
Ġ4,пункт,1,0.7285925334693323,False
Ġvertex,смысл-редк,1,0.7385865407148211,False
Ċ,пункт,10,0.18678312729725075,True
ible,подслово,1,0.6594368712658114,False
Ġwe,служ,2,0.17030919483938042,True
Ġdynamic,смысл-редк,3,0.25501788357873606,True
",",сток,9,0.03169545985738482,False
Ġthat,служ,2,0.6230268684777255,True
Ġgraph,смысл-редк,1,0.6823620609103109,False
",",сток,9,0.14581708084704165,False
n,подслово,2,0.2616646290110462,True
Ġshow,смысл-част,2,0.2274200647442402,True
$,пункт,3,0.7026675598343936,False
ĠOur,служ,2,0.28105677936948953,True
ens,подслово,1,0.8169737627410082,False
ing,подслово,1,0.6554499773220904,False
Cs,подслово,2,0.3666891941226824,True
Ġrounds,смысл-редк,1,0.7226512521815929,False
Ġat,служ,1,0.7719718963980321,False
general,подслово,1,0.6423151414712628,False
Ġremaining,смысл-редк,1,0.671174924471242,False
Ċ,пункт,10,0.18678312729725075,True
k,подслово,6,0.4022585534728422,True
Ġis,служ,4,0.5951503651972564,True
Ġdynamic,смысл-редк,3,0.5069193766613966,True
Ġis,служ,4,0.4802886957172851,True
Ġin,служ,3,0.2061422685931839,True
agreement,подслово,2,0.5584719630811119,True
$,пункт,3,0.4116723978176537,True
Ġalgorithm,смысл-част,1,0.7101168168289347,False
agreement,подслово,2,0.5490755654659553,False
),пункт,6,0.5311487193303908,True
Ġ(,пункт,3,0.5378201940259729,True
ĠA,служ,1,0.6789896007939312,False
Ġstudy,смысл-част,1,0.667489038331278,False
ĠOur,служ,2,0.28105677936948953,True
Ġthat,служ,2,0.6230268684777255,True
$,пункт,3,0.4116723978176537,True
Ġevery,служ,1,0.6696720791856839,False
$),пункт,1,0.7823346355124164,False
im,подслово,1,0.7577648883429535,False
Ġmessage,смысл-редк,4,0.4470799328786606,True
ĠV,смысл-част,2,0.49235703271930836,True
Ċ,пункт,10,0.24089440043517843,True
Ġd,служ,1,0.4817367725245226,False
Ġnumber,смысл-част,1,0.7773415310825948,False
ient,подслово,1,0.6624839718827911,False
Ġwhere,служ,2,0.47572190542417236,True
Ġnetworks,смысл-редк,1,0.4801632961187684,False
Ġimpossible,смысл-редк,1,0.8751474714194144,False
d,подслово,3,0.390056602222797,True
Ġde,смысл-част,1,0.8618863483083661,False
Ġdeal,смысл-част,1,0.8707943412176624,False
provide,подслово,1,0.8003714817216538,False
Ġmost,служ,2,0.32046915769546674,True
Ġother,служ,1,0.9792827236604369,False
set,подслово,2,0.27948273830706943,True
feas,подслово,1,0.8532362507262472,False
Ġdiameter,смысл-редк,1,0.7167516315487165,False
SR,подслово,2,0.31886844775997325,True
$-,пункт,4,0.2481485752500083,True
Ġcertain,смысл-част,1,0.6694969198477938,False
Ġmessage,смысл-редк,4,0.39953586985148676,True
d,подслово,3,0.3390506589202703,True
for,подслово,1,0.8119412517104109,False
k,подслово,6,0.27694993347537245,True
encoded,подслово,1,0.777867177550089,False
able,подслово,1,0.6594368712658114,False
Ġ(,пункт,3,0.4831180239750862,True
),пункт,6,0.28684070585031485,True
Ċ,пункт,10,0.26113700168605036,True
Ġwe,служ,2,0.17030919483938042,True
Ġbetween,служ,1,0.7261209604200947,False
",",пункт,9,0.2958125606545997,True
Ġ+,пункт,2,0.5063936518151602,True
k,подслово,6,0.28290657921612783,True
n,подслово,2,0.2616646290110462,True
vers,подслово,1,0.8527723825614529,False
Ġwhich,служ,1,0.803630938971068,False
strong,подслово,1,0.7991082068197473,False
Ġthe,сток,4,0.014774227840275614,True
$-,пункт,4,0.2481485752500083,True
fully,подслово,1,0.716001903851826,False
Ġ$,пункт,4,0.36198631865456016,True
k,подслово,6,0.48963790649655,True
$-,пункт,4,0.34274271631197956,True
Ġthis,служ,1,0.6875472579775982,False
k,подслово,6,0.29378002012536586,True
.,пункт,3,0.37266589272441897,True
Ġmost,служ,2,0.32046915769546674,True
Ċ,пункт,10,0.28399369741490654,True
wide,подслово,1,0.7344813068794482,False
",",пункт,9,0.2939426929756821,True
isc,подслово,1,0.7202893150225314,False
Ġ$,пункт,4,0.23370790053160523,True
Ġ+,пункт,2,0.5063936518151602,True
Cs,подслово,2,0.3666891941226824,True
Ġdistributed,смысл-редк,1,0.6637686990698983,False
Ġwhere,служ,2,0.47572190542417236,True
Ċ,пункт,10,0.2723995555280603,True
Ġdynamic,смысл-редк,3,0.25501788357873606,True
Ġadversary,смысл-редк,2,0.3173887343544827,True
Ġ$,пункт,4,0.23370790053160523,True
),пункт,6,0.28684070585031485,True
Ġis,служ,4,0.4195428450950717,True
Ġa,служ,5,0.19942922391099407,True
Ġagainst,служ,2,0.5138955576718702,True
Ġnetwork,смысл-част,2,0.376345713631001,True
Ġvalues,смысл-редк,1,0.7087354558502366,False
Ġconsensus,смысл-редк,2,0.45508739677074306,True
"$,",пункт,1,0.632888870183057,False
ĠOn,служ,1,0.8444216765813481,False
",",пункт,9,0.284488685482306,True
SRC,подслово,3,0.20430837001556487,True
ability,подслово,1,0.6780123373421696,False
SR,подслово,2,0.31886844775997325,True
message,подслово,1,0.6457905842982234,False
Ġthe,служ,4,0.40011449608118405,True
Ġas,служ,1,0.7468849788919114,False
k,подслово,6,0.27694993347537245,True
Ġconsensus,смысл-редк,2,0.45508739677074306,True
Ġmeans,смысл-част,1,0.7667578409379695,False
Ġomn,смысл-редк,1,0.7215693163332402,False
Ġgeneral,смысл-част,1,0.6423151414712628,False
Ġworks,смысл-част,1,0.7274793149158668,False
Ġin,служ,3,0.2061422685931839,True
Ġthe,сток,4,0.014774227840275614,True
Ġof,служ,2,0.4018016834449149,True
Ġand,служ,1,0.7864076725873683,False
),пункт,6,0.3240798337233568,True
Ġcomponents,смысл-редк,1,0.6947822937615292,False
Ċ,пункт,10,0.2015109675637141,True
Ċ,пункт,10,0.19683105467225354,True
),пункт,6,0.4453166514593437,True
Ġprocesses,смысл-редк,2,0.2946140566956817,True
Ġa,служ,5,0.4018584385517969,True
Ġan,служ,1,0.6030946702124143,False
Ġtowards,служ,1,0.7050426676465067,False
(,пункт,2,0.28499234635569975,True
Ġ(,пункт,3,0.4831180239750862,True
poss,подслово,1,0.8509330700784782,False
Ġagreement,смысл-редк,2,0.28626081917024965,True
SRC,подслово,3,0.2251844941337231,True
$-,пункт,4,0.28989968856067166,True
Ġthe,служ,4,0.40011449608118405,True
Ġthere,служ,1,0.7163486261094131,False
Ġborder,смысл-редк,1,0.7280463876094548,False
Ġsystem,смысл-част,1,0.7029869981701017,False
set,подслово,2,0.27948273830706943,True
Ġagainst,служ,2,0.5138955576718702,True
Ġor,служ,1,0.827978989515125,False
Ġa,служ,5,0.4018584385517969,True
Ġmessage,смысл-редк,4,0.3368402733472684,True
Ġof,служ,2,0.4018016834449149,True
ĠV,смысл-част,2,0.49235703271930836,True
Ġprocesses,смысл-редк,2,0.2946140566956817,True
ĠH,смысл-част,1,0.7285925334693323,False
Ġa,служ,5,0.19942922391099407,True
ĠWe,служ,1,0.4380200147434937,False
.,пункт,3,0.2216037518656682,True
Ġ$,пункт,4,0.297415255453687,True
INF,подслово,1,0.7706221253953196,False
where,подслово,1,0.6637622175526785,False
We,подслово,1,0.48841826973405983,False
Ġsome,служ,1,0.6696720791856839,False
uring,подслово,1,0.6554499773220904,False
Ċ,пункт,10,0.30782026471351825,True
(,пункт,2,0.28499234635569975,True
Ġa,служ,5,0.5065222349177231,True
Ġagreement,смысл-редк,2,0.28626081917024965,True
Ġoutgoing,смысл-редк,1,0.671174924471242,False
d,подслово,3,0.3390506589202703,True
Ġadversary,смысл-редк,2,0.3173887343544827,True
SRC,подслово,3,0.20430837001556487,True
Ġweak,смысл-редк,1,0.6636733224311024,False
ary,подслово,2,0.28394525294033957,True
Ġcausal,смысл-редк,1,0.6805059655200965,False
ary,подслово,2,0.28394525294033957,True
),пункт,6,0.38288064127986343,True
",",пункт,9,0.284488685482306,True
Ġmessage,смысл-редк,4,0.3368402733472684,True
Ġconnectivity,смысл-редк,1,0.6636733224311024,False
Ġin,служ,3,0.5911018094314825,True
Ġdecision,смысл-част,1,0.6818696647087147,False
",",пункт,9,0.7334486202870215,True
Ġdirected,смысл-редк,1,0.6094216244883021,False
Ċ,пункт,10,0.24089440043517843,True
Ġfriendly,смысл-редк,1,0.6071559462587671,False
Ġwe,служ,1,0.6282438881756804,False
Ġalthough,служ,1,0.8032037317825427,False
Ġactually,смысл-част,1,0.6884559908740872,False
Ġthis,служ,1,0.5258347659347609,False
Ġbecause,служ,1,0.7994475194640351,False
Ġit,служ,4,0.4626212230639748,True
Ġ99,пункт,1,0.7961977540133506,False
Ġbar,смысл-редк,1,0.7203610861579542,False
ĠThis,служ,1,0.5258347659347609,False
ĠI,служ,5,0.29831434643085947,True
Ġcalled,смысл-част,2,0.47595719906766065,True
Ġwas,служ,4,0.39222033523146677,True
Ġand,служ,5,0.45472016261233966,True
that,подслово,1,0.6892822921339369,False
Ġa,служ,4,0.45239879868650656,True
Ġsweet,смысл-редк,1,0.7160088883921456,False
Ġmy,служ,5,0.25271378010243367,True
Ġthen,служ,2,0.4780336513175018,True
Ġup,служ,1,0.748254207919928,False
ada,подслово,1,0.7200006655085948,False
Ġweekend,смысл-редк,1,0.7229956656304256,False
Ġhotel,смысл-редк,3,0.32049899320163033,True
