набор,текст,условие,beta,q*
механические,3,чужие хапаксы,0.8413608373932329,0.31666666666666665
механические,3,хапаксы одного домена,0.8191229961539256,0.33666666666666667
механические,3,20 чужих хапаксов,0.8147006877396482,0.3466666666666667
механические,3,маркер каждые 3,0.8146776206791224,0.4533333333333333
механические,3,без пунктуации,0.8311729258981368,0.32166666666666666
механические,3,без служебных,0.8360112495628886,0.305
механические,4,исходный,0.8144304299200766,0.3566666666666667
механические,4,перемешивание,0.8079915214355998,0.36999999999999994
механические,4,эхо x2,0.7024334937214564,0.4716666666666667
механические,4,эхо x4,0.4830680310351372,0.6783333333333333
механические,4,эхо на четверти,0.7556059940640748,0.44333333333333336
механические,4,словарь к 25,0.6572778845873458,0.5766666666666667
механические,4,словарь к 60,0.7298700677294159,0.4766666666666666
механические,4,все слова разные,0.8852264515442959,0.25833333333333336
механические,4,чужие хапаксы,0.8046939037055442,0.37833333333333335
механические,4,хапаксы одного домена,0.8175025968736448,0.36000000000000004
механические,4,20 чужих хапаксов,0.8001176312261989,0.375
механические,4,маркер каждые 3,0.829148125331591,0.45166666666666666
механические,4,без пунктуации,0.8084142544461982,0.345
механические,4,без служебных,0.8297796907941001,0.33
механические,5,исходный,0.7846067196437173,0.38499999999999995
механические,5,перемешивание,0.7968999061750609,0.36833333333333335
механические,5,эхо x2,0.7076297973234067,0.47833333333333333
механические,5,эхо x4,0.5240275175564147,0.66
механические,5,эхо на четверти,0.748916689861378,0.4366666666666667
механические,5,словарь к 25,0.5986739965119222,0.63
механические,5,словарь к 60,0.6940550912861205,0.5083333333333333
механические,5,все слова разные,0.8330003984412996,0.32666666666666666
механические,5,чужие хапаксы,0.7889005717579302,0.385
механические,5,хапаксы одного домена,0.7940379261328511,0.36833333333333335
механические,5,20 чужих хапаксов,0.8011139202267539,0.365
механические,5,маркер каждые 3,0.8129608637910074,0.4683333333333333
механические,5,без пунктуации,0.8267701600206007,0.335
механические,5,без служебных,0.8510931218669291,0.305
механические,6,исходный,0.8282579108787985,0.3466666666666667
механические,6,перемешивание,0.8249517317837132,0.34166666666666673
механические,6,эхо x2,0.7840853817488848,0.4116666666666667
механические,6,эхо x4,0.6224447475267704,0.5866666666666666
механические,6,эхо на четверти,0.8054350038507015,0.38000000000000006
механические,6,словарь к 25,0.5930987244674512,0.6783333333333333
механические,6,словарь к 60,0.6589195074889256,0.5750000000000001
механические,6,все слова разные,0.8821433075324948,0.2683333333333333
механические,6,чужие хапаксы,0.8319592494191226,0.33666666666666667
механические,6,хапаксы одного домена,0.8295744226488871,0.3416666666666666
механические,6,20 чужих хапаксов,0.8364340811677211,0.3383333333333334
механические,6,маркер каждые 3,0.8398585965129256,0.4533333333333333
механические,6,без пунктуации,0.8214710570712879,0.32833333333333337
механические,6,без служебных,0.859971800415161,0.28
механические,7,исходный,0.8222681484255693,0.3633333333333333
механические,7,перемешивание,0.8176616937995593,0.35333333333333333
механические,7,эхо x2,0.678565018725803,0.525
механические,7,эхо x4,0.4741997872385079,0.7033333333333333
механические,7,эхо на четверти,0.7436974267810569,0.455
механические,7,словарь к 25,0.5837691235449702,0.6749999999999999
механические,7,словарь к 60,0.6786529102451789,0.5533333333333333
механические,7,все слова разные,0.8908324552823271,0.26666666666666666
механические,7,чужие хапаксы,0.8399716507775533,0.3316666666666666
механические,7,хапаксы одного домена,0.8437484374862305,0.3383333333333334
механические,7,20 чужих хапаксов,0.8248879490826423,0.3666666666666667
механические,7,маркер каждые 3,0.8366930456543704,0.4533333333333333
механические,7,без пунктуации,0.832460930199054,0.3333333333333333
механические,7,без служебных,0.8442250563538,0.2783333333333334
механические,8,исходный,0.7896279150142567,0.35833333333333334
механические,8,перемешивание,0.7866774953960891,0.365
механические,8,эхо x2,0.6787195866106671,0.5
механические,8,эхо x4,0.5537628567464868,0.6183333333333333
механические,8,эхо на четверти,0.7304273295534084,0.43999999999999995
механические,8,словарь к 25,0.6049784582373512,0.64
механические,8,словарь к 60,0.6711891976936268,0.5133333333333333
механические,8,все слова разные,0.9024617611488619,0.19833333333333333
механические,8,чужие хапаксы,0.7979298143312715,0.3466666666666667
механические,8,хапаксы одного домена,0.7930415469521493,0.35000000000000003
механические,8,20 чужих хапаксов,0.7853399685792342,0.36999999999999994
механические,8,маркер каждые 3,0.8097307815146321,0.455
механические,8,без пунктуации,0.7905540437910087,0.36000000000000004
механические,8,без служебных,0.8019458969508221,0.35333333333333333
механические,9,исходный,0.7692533230159985,0.49333333333333335
механические,9,перемешивание,0.7403343625965961,0.51
механические,9,эхо x2,0.6172620763917153,0.6066666666666666
механические,9,эхо x4,0.5058327043597709,0.7333333333333334
механические,9,эхо на четверти,0.7002110120403974,0.5866666666666667
механические,9,словарь к 25,0.5424196642348784,0.7066666666666667
механические,9,словарь к 60,0.654890913519329,0.6066666666666666
механические,9,все слова разные,0.8804655698087039,0.325
механические,9,чужие хапаксы,0.736542877549515,0.5
механические,9,хапаксы одного домена,0.7622311202890718,0.5066666666666667
механические,9,20 чужих хапаксов,0.7544014928493091,0.5300000000000001
механические,9,маркер каждые 3,0.7296891452360831,0.6116666666666667
механические,9,без пунктуации,0.7538152645271358,0.5
механические,9,без служебных,0.7520217549605283,0.47500000000000003
механические,10,исходный,0.8166032194251714,0.3433333333333333
механические,10,перемешивание,0.8320488192872016,0.3216666666666667
механические,10,эхо x2,0.7473651348400684,0.4283333333333333
механические,10,эхо x4,0.5710906884570979,0.6183333333333333
механические,10,эхо на четверти,0.7927085726473809,0.40166666666666667
механические,10,словарь к 25,0.6236229552198166,0.6516666666666667
механические,10,словарь к 60,0.6842505403084691,0.5216666666666666
механические,10,все слова разные,0.8452001051555524,0.31833333333333336
механические,10,чужие хапаксы,0.822594280565553,0.345
механические,10,хапаксы одного домена,0.8210092038650155,0.3499999999999999
механические,10,20 чужих хапаксов,0.8098437287593896,0.35666666666666663
механические,10,маркер каждые 3,0.8152498558926199,0.45166666666666666
механические,10,без пунктуации,0.852237280610541,0.3116666666666667
механические,10,без служебных,0.8697330505123837,0.2733333333333334
механические,11,исходный,0.7716440865186893,0.4183333333333333
механические,11,перемешивание,0.7609755420055316,0.42333333333333334
механические,11,эхо x2,0.7040568025399337,0.4916666666666667
механические,11,эхо x4,0.5888690670792395,0.6483333333333334
механические,11,эхо на четверти,0.7388254812523328,0.4716666666666667
механические,11,словарь к 25,0.5632613780900851,0.6750000000000002
механические,11,словарь к 60,0.6382986337777014,0.575
механические,11,все слова разные,0.8595884596917328,0.3133333333333333
механические,11,чужие хапаксы,0.7725506461422275,0.4166666666666667
механические,11,хапаксы одного домена,0.7626656053647708,0.4383333333333333
механические,11,20 чужих хапаксов,0.7646663764505112,0.425
механические,11,маркер каждые 3,0.766161499690468,0.545
механические,11,без пунктуации,0.7595594596830907,0.4466666666666667
механические,11,без служебных,0.8030452137555367,0.35333333333333333
механические,12,исходный,0.7666385720851535,0.44166666666666665
механические,12,перемешивание,0.7486625694661487,0.45166666666666666
механические,12,эхо x2,0.7172467310641255,0.5099999999999999
механические,12,эхо x4,0.5167988189816248,0.6683333333333333
механические,12,эхо на четверти,0.7273303553072004,0.49333333333333335
механические,12,словарь к 25,0.5653535153955646,0.66
механические,12,словарь к 60,0.6701467577685456,0.5433333333333333
механические,12,все слова разные,0.8591139157982864,0.29833333333333334
механические,12,чужие хапаксы,0.7606960046076185,0.4366666666666667
механические,12,хапаксы одного домена,0.7842962492107377,0.42
механические,12,20 чужих хапаксов,0.7619581575806436,0.445
механические,12,маркер каждые 3,0.7916798106570218,0.5000000000000001
механические,12,без пунктуации,0.7556372891658834,0.44166666666666665
механические,12,без служебных,0.799456315313244,0.4266666666666667
механические,13,исходный,0.8143740651684032,0.39333333333333337
механические,13,перемешивание,0.8206172338792954,0.36166666666666664
механические,13,эхо x2,0.7734668288662427,0.4183333333333334
механические,13,эхо x4,0.68934986235801,0.5166666666666666
механические,13,эхо на четверти,0.79489119912762,0.4016666666666666
механические,13,словарь к 25,0.6354651414832544,0.64
механические,13,словарь к 60,0.6646512428068447,0.565
механические,13,все слова разные,0.8669643225000107,0.30666666666666664
механические,13,чужие хапаксы,0.8171978810945739,0.37333333333333335
механические,13,хапаксы одного домена,0.8185314159293808,0.36166666666666664
механические,13,20 чужих хапаксов,0.8317067168254145,0.35833333333333334
механические,13,маркер каждые 3,0.8211863520307995,0.47000000000000003
механические,13,без пунктуации,0.8243969660073964,0.33499999999999996
механические,13,без служебных,0.839530663327177,0.3233333333333333
механические,14,исходный,0.8141558250455597,0.37166666666666665
механические,14,перемешивание,0.8184461673078874,0.36166666666666664
механические,14,эхо x2,0.7575897049363515,0.4483333333333333
механические,14,эхо x4,0.5973094871702324,0.5983333333333333
механические,14,эхо на четверти,0.7990850716229696,0.3866666666666667
механические,14,словарь к 25,0.6050367413693687,0.6683333333333333
механические,14,словарь к 60,0.6687373790020764,0.5533333333333333
механические,14,все слова разные,0.8579669596736456,0.29000000000000004
механические,14,чужие хапаксы,0.8246946502144893,0.36833333333333335
механические,14,хапаксы одного домена,0.8184042693173069,0.37833333333333335
механические,14,20 чужих хапаксов,0.8079457680947796,0.38166666666666665
механические,14,маркер каждые 3,0.8262087725059364,0.47333333333333333
механические,14,без пунктуации,0.8372428649125512,0.3233333333333333
механические,14,без служебных,0.8517939505753045,0.32
механические,15,исходный,0.828297236034393,0.32
механические,15,перемешивание,0.8294279595536572,0.31666666666666665
механические,15,эхо x2,0.7198491539850052,0.4483333333333333
механические,15,эхо x4,0.49729351552915535,0.67
механические,15,эхо на четверти,0.7754895842548372,0.38999999999999996
механические,15,словарь к 25,0.6021191358238451,0.6316666666666667
механические,15,словарь к 60,0.6904320530012008,0.505
механические,15,все слова разные,0.8892633282261496,0.22
механические,15,чужие хапаксы,0.827257005724387,0.3216666666666666
механические,15,хапаксы одного домена,0.8235803702964142,0.31833333333333336
механические,15,20 чужих хапаксов,0.8144476193065077,0.3316666666666666
механические,15,маркер каждые 3,0.8240343767383104,0.415
механические,15,без пунктуации,0.824807827255869,0.33499999999999996
механические,15,без служебных,0.863234767374482,0.2733333333333334
механические,16,исходный,0.8506235122648867,0.3333333333333333
механические,16,перемешивание,0.8353047653676228,0.345
механические,16,эхо x2,0.7230173160203552,0.4716666666666667
механические,16,эхо x4,0.5429930218276162,0.6316666666666667
механические,16,эхо на четверти,0.8133531616074436,0.37166666666666665
механические,16,словарь к 25,0.6566494830800992,0.6183333333333333
механические,16,словарь к 60,0.7200838145242514,0.5116666666666667
механические,16,все слова разные,0.859112309524242,0.325
механические,16,чужие хапаксы,0.8493209444896674,0.32666666666666666
механические,16,хапаксы одного домена,0.8389134285607022,0.3333333333333333
механические,16,20 чужих хапаксов,0.8503605177580676,0.3216666666666667
механические,16,маркер каждые 3,0.8244012872943198,0.4683333333333333
механические,16,без пунктуации,0.8306955017555474,0.33
механические,16,без служебных,0.8769456133525994,0.29
механические,17,исходный,0.793194961588688,0.41500000000000004
механические,17,перемешивание,0.8089325303402736,0.385
механические,17,эхо x2,0.697224371019963,0.49333333333333335
механические,17,эхо x4,0.5417030394711645,0.6283333333333334
механические,17,эхо на четверти,0.7707265657316634,0.44166666666666665
механические,17,словарь к 25,0.6126239338662067,0.6383333333333333
механические,17,словарь к 60,0.6964093972272014,0.5183333333333333
механические,17,все слова разные,0.8325398417590284,0.3416666666666666
механические,17,чужие хапаксы,0.8017402130702379,0.3833333333333333
механические,17,хапаксы одного домена,0.7911101289096322,0.39833333333333326
механические,17,20 чужих хапаксов,0.8101713482106158,0.36000000000000004
механические,17,маркер каждые 3,0.7953058081971595,0.5099999999999999
механические,17,без пунктуации,0.817190691228774,0.3516666666666666
механические,17,без служебных,0.834962355918388,0.34
механические,18,исходный,0.8096467245729887,0.37333333333333335
механические,18,перемешивание,0.8078511979636837,0.36999999999999994
механические,18,эхо x2,0.6693285243552852,0.5300000000000001
механические,18,эхо x4,0.4912221899883742,0.68
механические,18,эхо на четверти,0.7283122695152455,0.4749999999999999
механические,18,словарь к 25,0.6343489753633085,0.6233333333333334
механические,18,словарь к 60,0.7191244519045333,0.505
механические,18,все слова разные,0.8477908742863294,0.3316666666666666
механические,18,чужие хапаксы,0.8096251995453203,0.37166666666666665
механические,18,хапаксы одного домена,0.8110405664992252,0.36166666666666664
механические,18,20 чужих хапаксов,0.7933517479985314,0.39333333333333337
механические,18,маркер каждые 3,0.755619739253123,0.5333333333333333
механические,18,без пунктуации,0.7925085865777373,0.3833333333333333
механические,18,без служебных,0.8422820461849992,0.31
механические,19,исходный,0.7795259086928223,0.4166666666666667
механические,19,перемешивание,0.7915894996307206,0.41500000000000004
механические,19,эхо x2,0.6475757931419058,0.5633333333333334
механические,19,эхо x4,0.44758039200181526,0.7383333333333333
механические,19,эхо на четверти,0.7374692056614061,0.47333333333333333
механические,19,словарь к 25,0.5941772645253974,0.65
механические,19,словарь к 60,0.6730929124052808,0.545
механические,19,все слова разные,0.8670000163257443,0.3016666666666667
механические,19,чужие хапаксы,0.7651417665178536,0.45
механические,19,хапаксы одного домена,0.770860712790553,0.4466666666666667
механические,19,20 чужих хапаксов,0.7864492007705043,0.41
механические,19,маркер каждые 3,0.7813531098691153,0.5283333333333333
механические,19,без пунктуации,0.7999588257188689,0.37666666666666665
механические,19,без служебных,0.8270803376475282,0.3933333333333333
механические,20,исходный,0.7522896265282685,0.45999999999999996
механические,20,перемешивание,0.7694589990617314,0.4566666666666667
механические,20,эхо x2,0.6527704646324825,0.5733333333333333
механические,20,эхо x4,0.42921346234965063,0.7233333333333333
механические,20,эхо на четверти,0.7111713502207002,0.505
механические,20,словарь к 25,0.5008517122467733,0.7066666666666667
механические,20,словарь к 60,0.6401788288233009,0.6016666666666667
механические,20,все слова разные,0.866490545685668,0.3133333333333333
механические,20,чужие хапаксы,0.7667908619678575,0.44333333333333336
механические,20,хапаксы одного домена,0.7565612819039934,0.4716666666666667
механические,20,20 чужих хапаксов,0.7607166518983992,0.46
механические,20,маркер каждые 3,0.7554875773422366,0.535
механические,20,без пунктуации,0.7629703392315547,0.4383333333333333
механические,20,без служебных,0.79768259171556,0.4083333333333334
механические,21,исходный,0.8253902473969758,0.33
механические,21,перемешивание,0.8258030840801509,0.32
механические,21,эхо x2,0.6847897654350305,0.5
механические,21,эхо x4,0.538155821078355,0.6333333333333333
механические,21,эхо на четверти,0.7729002298615955,0.405
механические,21,словарь к 25,0.6689458886512213,0.555
механические,21,словарь к 60,0.7303614589986352,0.47333333333333333
механические,21,все слова разные,0.8611581407081607,0.285
механические,21,чужие хапаксы,0.8326800810994682,0.32
механические,21,хапаксы одного домена,0.8201479444096754,0.3416666666666666
механические,21,20 чужих хапаксов,0.8142385315980517,0.345
механические,21,маркер каждые 3,0.8330126974884692,0.44
механические,21,без пунктуации,0.8147119515074207,0.35666666666666663
механические,21,без служебных,0.8615140586196944,0.2833333333333334
механические,22,исходный,0.7419449306373339,0.4716666666666667
механические,22,перемешивание,0.7075844818477238,0.5166666666666667
механические,22,эхо x2,0.6568873970024898,0.5499999999999999
механические,22,эхо x4,0.5580584005145909,0.63
механические,22,эхо на четверти,0.6692318454346733,0.5316666666666667
механические,22,словарь к 25,0.5259702072166633,0.7116666666666666
механические,22,словарь к 60,0.6369548408174907,0.5783333333333333
механические,22,все слова разные,0.8592677242985302,0.3116666666666667
механические,22,чужие хапаксы,0.7201577019697867,0.49
механические,22,хапаксы одного домена,0.7122469717328866,0.49833333333333335
механические,22,20 чужих хапаксов,0.7440950842387593,0.4716666666666667
механические,22,маркер каждые 3,0.7086838926359745,0.58
механические,22,без пунктуации,0.723887327275476,0.4966666666666666
механические,22,без служебных,0.7381556498369525,0.465
механические,23,исходный,0.7998401002344097,0.37833333333333335
механические,23,перемешивание,0.7942693564789814,0.375
механические,23,эхо x2,0.7093731035159229,0.48
механические,23,эхо x4,0.5945578007535541,0.6033333333333334
механические,23,эхо на четверти,0.767858113651056,0.4083333333333334
механические,23,словарь к 25,0.572230449668965,0.6883333333333334
механические,23,словарь к 60,0.6500266181533628,0.585
механические,23,все слова разные,0.8863171430789246,0.25833333333333336
механические,23,чужие хапаксы,0.8022966584830439,0.37333333333333335
механические,23,хапаксы одного домена,0.7790666273247847,0.3983333333333334
механические,23,20 чужих хапаксов,0.7993254090746623,0.385
механические,23,маркер каждые 3,0.8035562163168036,0.48500000000000004
механические,23,без пунктуации,0.8052701995991961,0.38166666666666665
механические,23,без служебных,0.8278739159359416,0.32499999999999996
механические,24,исходный,0.7981309722825962,0.375
механические,24,перемешивание,0.7924562384187301,0.36999999999999994
механические,24,эхо x2,0.7399395026815,0.44166666666666665
механические,24,эхо x4,0.5848470743883999,0.605
механические,24,эхо на четверти,0.7774206215079204,0.39666666666666667
механические,24,словарь к 25,0.6400340250249718,0.59
механические,24,словарь к 60,0.707563224542881,0.48500000000000004
механические,24,все слова разные,0.8672211572065588,0.28
механические,24,чужие хапаксы,0.7916117855922332,0.37666666666666665
механические,24,хапаксы одного домена,0.7876306345486966,0.38166666666666665
механические,24,20 чужих хапаксов,0.7999562692295333,0.38000000000000006
механические,24,маркер каждые 3,0.7981262157556205,0.4666666666666666
механические,24,без пунктуации,0.7893299217441548,0.3916666666666666
механические,24,без служебных,0.8122217342140066,0.3383333333333333
механические,25,исходный,0.7243467860799478,0.5266666666666667
механические,25,перемешивание,0.7370809805069132,0.5
механические,25,эхо x2,0.6127658398512582,0.6216666666666667
механические,25,эхо x4,0.400746005115819,0.7616666666666667
механические,25,эхо на четверти,0.7014126779830935,0.51
механические,25,словарь к 25,0.5746694155653885,0.655
механические,25,словарь к 60,0.6832335315977592,0.55
механические,25,все слова разные,0.8534998973149516,0.33166666666666667
механические,25,чужие хапаксы,0.7341448503217111,0.48333333333333334
механические,25,хапаксы одного домена,0.7432328475323796,0.48500000000000004
механические,25,20 чужих хапаксов,0.7285294412636784,0.47833333333333333
механические,25,маркер каждые 3,0.7497655006191949,0.5533333333333333
механические,25,без пунктуации,0.7213936999116038,0.5233333333333333
механические,25,без служебных,0.7679039720026007,0.4366666666666667
механические,26,исходный,0.7582526323793317,0.45166666666666666
механические,26,перемешивание,0.7735195575493128,0.425
механические,26,эхо x2,0.6312320150207937,0.5883333333333333
механические,26,эхо x4,0.45764830259523376,0.7166666666666667
механические,26,эхо на четверти,0.7026865020394292,0.5033333333333333
механические,26,словарь к 25,0.550453794732741,0.6583333333333333
механические,26,словарь к 60,0.6431301839673242,0.565
механические,26,все слова разные,0.8778834129925923,0.26166666666666666
механические,26,чужие хапаксы,0.7531923720141194,0.44333333333333336
механические,26,хапаксы одного домена,0.7581707526236933,0.44166666666666665
механические,26,20 чужих хапаксов,0.7533209874193583,0.45166666666666666
механические,26,маркер каждые 3,0.7398675041519639,0.535
механические,26,без пунктуации,0.7514856677244054,0.4583333333333333
механические,26,без служебных,0.7848985760003496,0.4000000000000001
механические,27,исходный,0.8215419764697405,0.3433333333333333
механические,27,перемешивание,0.8126224766878171,0.36166666666666664
механические,27,эхо x2,0.7407868771406457,0.4466666666666667
механические,27,эхо x4,0.6235466628245324,0.58
механические,27,эхо на четверти,0.7885675677147924,0.40166666666666667
механические,27,словарь к 25,0.5968556106124345,0.6566666666666667
механические,27,словарь к 60,0.6563028052701485,0.57
механические,27,все слова разные,0.866684162716639,0.3016666666666667
механические,27,чужие хапаксы,0.8335763438787428,0.3416666666666666
механические,27,хапаксы одного домена,0.8412504672745807,0.325
механические,27,20 чужих хапаксов,0.8147018472881206,0.375
механические,27,маркер каждые 3,0.8005229344628604,0.465
механические,27,без пунктуации,0.8434203085668798,0.3233333333333333
механические,27,без служебных,0.8662224895712383,0.27499999999999997
механические,28,исходный,0.7612561041876758,0.4483333333333333
механические,28,перемешивание,0.7583811877095973,0.44333333333333336
механические,28,эхо x2,0.6906424543426347,0.515
механические,28,эхо x4,0.5683655045899196,0.6066666666666666
механические,28,эхо на четверти,0.6989334121673977,0.49666666666666665
механические,28,словарь к 25,0.6371822382836008,0.5816666666666667
механические,28,словарь к 60,0.7480056472851779,0.4466666666666667
механические,28,все слова разные,0.8370620250343542,0.33666666666666667
механические,28,чужие хапаксы,0.7654074449380753,0.43333333333333335
механические,28,хапаксы одного домена,0.7533227458049324,0.4366666666666667
механические,28,20 чужих хапаксов,0.775811387487202,0.425
механические,28,маркер каждые 3,0.7521353958024144,0.5333333333333333
механические,28,без пунктуации,0.7613407436412868,0.4483333333333333
механические,28,без служебных,0.7800184980175845,0.4183333333333333
механические,29,исходный,0.8270995491899212,0.3633333333333333
механические,29,перемешивание,0.8271460032417731,0.36833333333333335
механические,29,эхо x2,0.7658216851417703,0.44333333333333336
механические,29,эхо x4,0.6359408502453734,0.5733333333333333
механические,29,эхо на четверти,0.8056881620213838,0.38000000000000006
механические,29,словарь к 25,0.6524774186288597,0.6083333333333333
механические,29,словарь к 60,0.7215598251744693,0.505
механические,29,все слова разные,0.8644970209234036,0.3
механические,29,чужие хапаксы,0.8434551494119756,0.33
механические,29,хапаксы одного домена,0.8339125682565841,0.3416666666666666
механические,29,20 чужих хапаксов,0.8335524342826316,0.33666666666666667
механические,29,маркер каждые 3,0.8341781803655497,0.445
механические,29,без пунктуации,0.8458253580494456,0.3316666666666667
механические,29,без служебных,0.8777837159706482,0.2916666666666667
механические,30,исходный,0.783447374377887,0.405
механические,30,перемешивание,0.7778197386948268,0.4116666666666666
механические,30,эхо x2,0.742828945539574,0.46166666666666667
механические,30,эхо x4,0.661601296256396,0.545
механические,30,эхо на четверти,0.795183925076588,0.395
механические,30,словарь к 25,0.5746754408859053,0.695
механические,30,словарь к 60,0.6057508143879725,0.605
механические,30,все слова разные,0.8507305176840232,0.3383333333333333
механические,30,чужие хапаксы,0.7953363517409481,0.39833333333333326
механические,30,хапаксы одного домена,0.7635501008040738,0.4366666666666666
механические,30,20 чужих хапаксов,0.7784532585367474,0.42
механические,30,маркер каждые 3,0.7864522256378571,0.48500000000000004
механические,30,без пунктуации,0.806125342154643,0.36666666666666664
механические,30,без служебных,0.8246898050574636,0.35833333333333334
механические,31,исходный,0.835149356731486,0.3466666666666667
механические,31,перемешивание,0.8212302164968966,0.3516666666666666
механические,31,эхо x2,0.7441345086248342,0.445
механические,31,эхо x4,0.6033303369656117,0.585
механические,31,эхо на четверти,0.7869625579932361,0.39166666666666666
механические,31,словарь к 25,0.6096641296918822,0.6283333333333333
механические,31,словарь к 60,0.6681098686625965,0.5483333333333333
механические,31,все слова разные,0.8774314547587654,0.25166666666666665
механические,31,чужие хапаксы,0.8475372235376645,0.3116666666666667
механические,31,хапаксы одного домена,0.8379753135727528,0.30833333333333335
механические,31,20 чужих хапаксов,0.8348328836053205,0.33499999999999996
механические,31,маркер каждые 3,0.8060410508536188,0.4716666666666667
механические,31,без пунктуации,0.8330688799320151,0.32
механические,31,без служебных,0.86099987079711,0.28333333333333327
механические,32,исходный,0.7492028945700052,0.47333333333333333
механические,32,перемешивание,0.7809407100493412,0.4483333333333333
механические,32,эхо x2,0.6810070985969615,0.5533333333333333
механические,32,эхо x4,0.6347286024537367,0.5866666666666666
механические,32,эхо на четверти,0.7034700115356228,0.5166666666666666
механические,32,словарь к 25,0.5582926116686426,0.68
механические,32,словарь к 60,0.6243751952786962,0.6183333333333333
механические,32,все слова разные,0.8776824788476666,0.2916666666666667
механические,32,чужие хапаксы,0.7897447643482173,0.43333333333333335
механические,32,хапаксы одного домена,0.7776345952362836,0.45
механические,32,20 чужих хапаксов,0.779148323044175,0.45166666666666666
механические,32,маркер каждые 3,0.7676509276930169,0.545
механические,32,без пунктуации,0.786521292660975,0.4633333333333333
механические,32,без служебных,0.7838023820713197,0.4266666666666667
механические,33,исходный,0.731632965394445,0.4633333333333333
механические,33,перемешивание,0.7505237046627702,0.4483333333333333
механические,33,эхо x2,0.5747877992703493,0.6366666666666667
механические,33,эхо x4,0.4376400779172254,0.73
механические,33,эхо на четверти,0.7150308283516852,0.47833333333333333
механические,33,словарь к 25,0.5601526894965118,0.6549999999999999
механические,33,словарь к 60,0.6698762645309969,0.5366666666666666
механические,33,все слова разные,0.8530612548811086,0.31833333333333336
механические,33,чужие хапаксы,0.7587126223138253,0.43166666666666664
механические,33,хапаксы одного домена,0.7909373559085534,0.39666666666666667
механические,33,20 чужих хапаксов,0.7520019202817713,0.44333333333333336
механические,33,маркер каждые 3,0.7551467916130993,0.5583333333333333
механические,33,без пунктуации,0.7488949488256317,0.4483333333333333
механические,33,без служебных,0.782838807659569,0.38833333333333336
механические,34,исходный,0.7958420720397029,0.4033333333333333
механические,34,перемешивание,0.8235922033431806,0.3433333333333333
механические,34,эхо x2,0.7636317766926194,0.4466666666666667
механические,34,эхо x4,0.5980514800253366,0.6216666666666667
механические,34,эхо на четверти,0.7934134675815171,0.39999999999999997
механические,34,словарь к 25,0.5774589939206893,0.66
механические,34,словарь к 60,0.6056581028707834,0.6283333333333333
