вариант,уместность слов,уместность слов — почему,связность изложения,связность изложения — почему,тематический разброс,тематический разброс — почему,скорость подачи нового,скорость подачи нового — почему,грамотность,грамотность — почему,жёсткость формы,жёсткость формы — почему,пунктуация,пунктуация — почему,синтаксическая сложность,синтаксическая сложность — почему,смысловая сложность,смысловая сложность — почему,естественность как текста,естественность как текста — почему
inject_topic,6.0,"While most of the text uses precise scientific terminology, the final sentence introduces arbitrary and out-of-context insertions like ""book publications about animals.""",6.0,"The text builds a coherent argument about curriculum learning for dynamical systems until the final sentence, which abruptly strays into unrelated topics.",6.0,"The text mainly focuses on machine learning and dynamical systems, but briefly touches on robotics, business services, and book publications about animals at the end.",7.0,The passage steadily introduces new concepts from curriculum learning to ergodic theory and entropy-based metrics.,7.0,"The text is well-written prose with minor mechanical flaws such as the misspelling of ""buisness.""",5.0,The text follows a standard academic abstract format without using any rigid repeating frames or rigid fill-in structures.,8.0,"Commas, colons, and periods are used correctly throughout the text to delineate complex academic sentences.",8.0,"The writing features sophisticated sentence structures with embedded clauses, participial phrases, and varied connectors.",8.0,"The content demands that the reader follow a layered scientific argument involving ergodic theory, dynamical systems, and entropy metrics.",6.0,"The text reads mostly as a genuine academic paper, though a couple of odd editorial insertions make it slightly unnatural near the end."
syn_none,9.0,Every technical and mathematical content word is precisely chosen and perfectly fits the context of physics-informed machine learning.,9.0,The text advances seamlessly from the initial modeling problem to the proposed curriculum learning solution and its specific empirical results.,6.0,"The text stays strictly within the domain of computational science, dynamical systems, and machine learning.",7.0,"Each sentence introduces new aspects of the methodology, moving from problem definition to specific ergodic theory insights and entropy metrics.",9.0,The prose is completely free of grammatical defects and reads as standard academic writing.,5.0,The text follows standard academic abstract formatting without any explicit structural template or repeating frame.,9.0,All sentence boundaries and internal clauses are correctly and naturally punctuated.,8.0,"The text features complex sentence constructions with frequent subordination, relative clauses, and multi-layered arguments.",8.0,"Understanding the text requires holding abstract concepts like ergodic theory, entropy metrics, and curriculum learning in mind simultaneously.",9.0,"The passage is an entirely natural, well-written abstract from a scientific paper."
syn_max,8.0,"The content words are precisely chosen technical terms from dynamical systems, machine learning, and physics that fit their exact semantic context.",8.0,"The text forms a single, well-structured scientific abstract that logically moves from a problem statement to a proposed curriculum learning solution and specific theoretical/empirical findings.",7.0,"The text stays focused on data-driven modeling of complex dynamical systems, bringing in related concepts from ergodic theory, physics, machine learning, and entropy.",7.0,"Each sentence systematically introduces a new phase of the research, moving from challenges to methodology, theoretical foundations, metrics, and key findings.",8.0,"The text is written in clean, highly proficient, and publishable academic English with no grammatical errors.",5.0,The text follows standard continuous prose suitable for a journal or conference abstract without using explicit structural templates or repeating sentence frames.,8.0,"Punctuation is used correctly throughout the text to manage complex sub-clauses, semi-colons, and sentence boundaries.",8.0,"The sentences feature advanced syntactic structures including multiple nested dependent clauses, participial modifiers, and varied embedded phrases.",8.0,"The abstract presents a dense, abstract argument combining concepts from machine learning, ergodic theory, and dynamic complexity metrics.",8.0,The text reads completely naturally as an authentic academic paper abstract written by domain experts.
style_literary,9.0,"Every technical and academic content word, such as ""ergodic theory"" and ""generalizability,"" fits its exact conceptual place in the passage.",9.0,"The passage opens with a problem in modeling complex systems, reviews generic data-driven approaches, identifies key unanswered questions, and presents a curriculum learning solution that advances logically to its final claims.",7.0,"The text stays focused on computational modeling, dynamical systems, computational physics, and machine learning curriculum design.",7.0,Each sentence moves the paper forward from background problems to specific methodological proposals and empirical findings.,9.0,"The prose is fully well-formed, sophisticated, and grammatically flawless publishable academic English.",5.0,"The text follows standard academic abstract formatting, moving smoothly from problem formulation to proposed methodology and results without rigid phrasal structures.",9.0,"Em dashes, commas, and periods are used correctly throughout to manage complex clause structures.",9.0,"The text relies on long, periodic sentences with layered subordinate clauses, participial modifiers, and embedded relative clauses.",8.0,"The argument requires tracking abstract mathematical concepts like ergodic theory, dataset entropy, and generalizability in dynamical systems across sentences.",9.0,The writing is a completely natural and polished example of an abstract for a scientific journal article.
essay_one_topic,9.0,Every content word is precisely chosen for the domain of computational science and machine learning.,9.0,"The text forms a single, continuous academic argument that logically progresses from the problem to the methodology, theoretical groundwork, and experimental findings.",6.0,The text stays focused on the single subject of using curriculum learning and entropy metrics to model complex dynamical systems.,7.0,"Each sentence advances the abstract by introducing theoretical motivation, specific methodological steps, or key conclusions.",9.0,"The prose is flawless, formal academic English without any grammatical or mechanical errors.",5.0,"The text follows the standard structural flow of a scientific abstract (context, problem, proposed method, results, and broader implications) in continuous prose.",9.0,"Punctuation is entirely correct, using commas, semicolons, and periods appropriately throughout complex sentences.",8.0,"Sentences feature advanced syntactic structures with multiple subordinate clauses, participial phrases, and complex embedding.",8.0,"The text requires the reader to track abstract concepts involving ergodic theory, entropy metrics, curriculum learning, and dynamical systems theory.",9.0,"The text reads as an authentic, high-quality abstract written for a peer-reviewed machine learning or scientific computing journal."
script_events,8.0,Every technical term and action verb fits the setting of a dynamic systems research laboratory.,8.0,"The narrative follows a continuous, logical progression of a research breakthrough from initial problem to solution and documentation.",7.0,The text remains focused on machine learning and dynamical systems within a research lab setting.,7.0,"Each sentence advances the scene with new actions, ideas, or computational results.",8.0,"The prose is clean, grammatically sound, and fully readable with no obvious errors.",6.0,The text strictly follows a screenplay script format indicated by scene headers and camera direction markers like FADE OUT.,8.0,All sentences are cleanly punctuated with appropriate capitalisation and full stops.,4.0,"The writing relies almost entirely on short, simple declarative sentences with minimal subordination.",6.0,The text presents a clear series of concrete actions involving data science concepts without deep abstract argument.,8.0,The passage reads naturally as a well-crafted scene from an instructional or descriptive screenplay.
style_record_fields,8.0,"Every technical and scientific content word fits its precise context in machine learning, complex physical systems, and ergodic theory.",6.0,"The text consists of four distinct sub-blocks that each address related aspects of dynamic physical system modeling, though they function as discrete structural entries rather than a single flowing essay.",7.0,"The text covers machine learning, physics, dynamic control systems, ergodic theory, and information theory.",8.0,"Each section introduces a new domain, problem, strategy, analysis, and outcome, rapidly providing fresh information without repeating previous material.",9.0,"The writing features high-quality, publishable scientific English without grammatical or typographical defects.",9.0,"The text is strictly organized around a repeated structural frame consisting of labeled headers (Domain, Problem, Strategy, Analysis, Outcome) for each section.",9.0,"Punctuation is used correctly throughout, adhering perfectly to standard English grammar and the formatting conventions of labeled text fields.",8.0,"Sentences feature complex structure, including passive constructions, participle phrases, and multiple levels of domain-specific elaboration.",8.0,"The content demands significant domain knowledge in deep learning, dynamic systems, and ergodic theory, requiring the reader to hold complex abstract concepts in mind.",8.0,"The text reads like a naturally written structured executive summary, structured abstract, or grant document outline written by a domain expert."
style_catechism,8.0,The content words fit their syntactic contexts precisely throughout the academic abstract.,6.0,"The text progresses logically through a research problem, methodology, and results, though the rhetorical flow is interrupted by repeating introductory questions.",7.0,The text stays strictly within the domain of computational science and machine learning for dynamical systems.,7.0,"Each sentence advances the passage by introducing new aspects of the study, such as curriculum learning, ergodic theory, and entropy metrics.",9.0,"The prose is completely free of grammatical errors, typos, or mechanical defects.",9.0,"The text is governed by an explicit and rigid question-and-answer template, with every single sentence beginning with the exact phrase ""What can be stated about..."".",9.0,Punctuation is used correctly throughout the text to set off question marks and standard sentence boundaries.,8.0,"The sentences exhibit advanced syntactic structures with participial phrases, prepositional embeddings, and complex nominal clauses.",8.0,"The content involves abstract scientific concepts such as ergodic theory, dataset entropy, and dynamical system modeling that require sustained attention.",5.0,"While clearly human-written in its domain terminology, the artificial repetition of the question frame makes the text feel contrived rather than fully natural."
style_code,9.0,"Every technical term and variable name is precise, fitting the context of scientific machine learning and dynamical systems seamlessly.",8.0,"The text forms a logical Python module that sequentially introduces a scientific modeling problem, defines a curriculum learning strategy, and evaluates it using ergodic theory.",7.0,The text remains focused on data-driven modeling of complex dynamical systems using physics-informed machine learning and ergodic theory.,7.0,"Each docstring and function introduces a distinct aspect of the methodology, moving from the initial problem statement to strategy implementation and quantitative evaluation.",9.0,"The code structure and English docstrings are syntactically sound, clean, and entirely free of grammatical defects.",8.0,"The text is structured strictly as a Python module featuring docstrings, function signatures, and simple procedural code blocks.",9.0,Standard Python formatting rules and formal academic English punctuation are followed impeccably throughout.,7.0,"The docstrings contain complex, well-structured academic prose with multiple subordinate clauses, while the accompanying code consists of simple function definitions.",8.0,"The content involves abstract scientific concepts such as ergodic theory, entropy as a complexity metric, and dynamical system generalizability that require domain-specific knowledge to follow.",8.0,The text reads naturally as a well-documented Python source code file written for a scientific computing or research project.
style_equations,9.0,"Every technical term, mathematical variable, and domain-specific verb fits the context of machine learning applied to physical dynamical systems precisely.",9.0,"The text forms a logical academic narrative that systematically progresses from defining the physical system to formulating the neural network approximation, introducing curriculum learning, and deriving data bounds.",7.0,"The passage stays focused on a single technical subject, drawing appropriately on related subfields like dynamical systems, deep learning, information theory, and ergodic theory.",7.0,"Each numbered equation and sentence introduces a distinct logical step in the framework, advancing from problem formulation to model structure, dataset complexity, bounds, and optimization.",9.0,"The text is written in flawless, highly formal academic English with clear grammatical construction throughout.",6.0,The passage follows standard academic prose conventions interleaved with numbered mathematical equation displays.,9.0,Punctuation is used correctly and precisely according to standard mathematical and prose publishing norms.,8.0,"The text features complex sentence structures with nested relative clauses, prepositional phrases, and mathematical expressions.",8.0,"The reader must track abstract mathematical concepts, parameterizations, and theoretical guarantees across connected sections.",9.0,"The writing is a completely natural, high-quality excerpt representative of a machine learning or applied mathematics conference paper."
style_anaphora,8.0,"Every content word fits the context of machine learning and dynamical systems research perfectly, though the text suffers from structural repetition.",7.0,"The passage logically advances a research agenda from problem statement to methodology and results, despite the repetitive sentence starters.",5.0,The text stays strictly within the domain of data-driven modeling of complex dynamical systems and machine learning.,7.0,"Each sentence systematically introduces a distinct aspect of the research paper's motivation, method, or findings.",9.0,"The text consists of grammatically flawless, highly readable academic English sentences.",9.0,"Every single sentence mechanically begins with the exact same phrase, ""In this work, we [verb],"" creating an extreme artificial repeating frame.",9.0,Every sentence uses correct internal comma placement and closing punctuation throughout.,8.0,"The text features complex sentence structures with subordination, embedded clauses, and varied academic phrasing following the initial frame.",8.0,"The content involves abstract theoretical concepts such as ergodic theory, entropy-based dataset design, and dynamical system generalizability.",4.0,"The artificial repetition of ""In this work, we"" at the start of every sentence makes the text highly unnatural despite its proper academic phrasing."
syntax_monotone,7.0,"The content words generally fit the scientific domain, though phrases like ""throughout the age"" feel slightly generic or misplaced.",7.0,"The text forms a continuous, logical narrative outlining a problem in computational modeling and introducing a curriculum learning approach to solve it, though it cuts off abruptly at the final word.",7.0,"The passage remains strictly focused on machine learning, computational physics, and predictive modeling without straying into unrelated subjects.",7.0,"Each sentence progressively builds the argument by stating the domain problem, current limitations, existing approaches, and finally the proposed curriculum learning solution.",7.0,"The prose consists of well-formed English sentences, though the text abruptly terminates on a trailing word at the end.",5.0,"The text is standard continuous academic prose without any repeating structural frames, bullet points, or fixed formulaic patterns.",7.0,"Sentence boundaries and punctuation marks are used correctly throughout, with only the truncated final word lacking a closing period.",5.0,The writing relies almost entirely on simple declarative sentences with minimal subordination or embedded clauses.,7.0,"The text discusses abstract scientific concepts like generic functional formats, computational constraints, and curriculum learning strategies, requiring some background knowledge to follow.",7.0,"The text reads like an authentic academic abstract or introductory section, despite being slightly cut off at the very end."
syntax_varied,9.0,"Every technical and mathematical content word, such as ""ergodic theory,"" ""entropy,"" and ""generalizability,"" fits its precise place in the scientific context.",8.0,"The text forms a single, well-structured research introduction that logical moves from stating a problem to describing a proposed curriculum learning methodology.",7.0,The text remains strictly within the single domain of machine learning applied to physics and complex dynamical systems.,7.0,"Each sentence advances the passage logically by introducing new aspects of the problem, the proposed method, or specific experimental findings.",9.0,"The writing is clear, syntactically well-formed, and completely free of grammatical or typographical errors.",5.0,"The text is written as standard continuous academic prose, using conventional scientific abstract/introduction structuring without a rigid repeating phrasal template.",9.0,"All commas, periods, and question marks are correctly placed according to standard formal English conventions.",8.0,"Sentences feature complex structures including relative clauses, participial phrases, rhetorical questions, and varied passive constructions.",8.0,"The content deals with high-level abstract concepts in machine learning theory, dynamic systems modeling, and information theory that require careful reader tracking.",8.0,"The text is fully natural as an academic abstract, though slightly stylized by occasional passive voice shifts and rhetorical questions."
syntax_simple,9.0,Every technical term and content word fits the context of data-driven physics modeling and machine learning precisely.,8.0,The passage presents a logical progression from defining a scientific problem to introducing a method and outlining specific contributions.,7.0,"The text remains focused on a single topic, covering physical system modeling, machine learning, ergodic theory, and entropy as related facets of the subject.",7.0,"Each sentence advances the argument by introducing specific challenges, strategies, or contributions without simply repeating earlier claims.",9.0,"The writing is clear, well-formed, and completely free of grammatical or mechanical errors.",5.0,The text consists of standard continuous prose with a slight stylistic tendency toward repetitive short sentences in the middle section.,9.0,Punctuation is used correctly throughout to delimit all sentence boundaries cleanly.,6.0,"Sentences feature moderate variety, though several consecutive sentences rely on simple, short main clauses.",8.0,The content deals with abstract scientific concepts like ergodic theory and dataset entropy in data-driven dynamical modeling.,8.0,"The text reads like an authentic scientific paper abstract, despite a slightly choppy style in a few short sentences."
syntax_complex,9.0,"Every technical and academic content word, such as ""ergodic theory,"" ""generalizability,"" and ""entropy,"" fits its precise place in the context of machine learning and dynamical systems.",9.0,"The text advances seamlessly from identifying a modeling bottleneck in predicting complex systems to introducing data-driven alternatives, highlighting their limits, and presenting a curriculum learning solution based on entropy.",7.0,"The passage stays focused on a single topic, examining the data-driven modeling of complex dynamical systems through curriculum learning and ergodic theory.",7.0,"Each sentence steadily advances the paper's thesis by introducing the problem, the current limitations, the proposed curriculum strategy, and the theoretical tools used to evaluate it.",9.0,"The text consists of impeccably structured, clean, and publishable academic English.",5.0,"The text follows the standard continuous prose format of a scientific abstract, progressing naturally from background to proposed method without relying on repeating formal frames or lists.",9.0,"Commas, colons, and hyphens are used correctly throughout to manage long compound-complex sentences.",9.0,"The sentences feature multi-clause structures with complex subordination, participial phrases, and embedded relative clauses typical of high-level scientific writing.",9.0,"The argument requires the reader to track abstract mathematical and machine learning concepts like ergodic theory, data complexity metrics, and curriculum convergence across multiple sentences.",9.0,The text is a completely natural and high-quality specimen of a scientific abstract written for a peer-reviewed journal.
